Source,Target,Type,Weight,Interaction,post_id
1611627396314337281,1389913567671975937,Directed,1,MENTION,2071800977825452157
1611627396314337281,1389913567671975937,Directed,1,REPLY,2071800977825452157
1690628832653447168,1617542948157284352,Directed,1,MENTION,2071800974260265216
1690628832653447168,1720665183188922368,Directed,1,MENTION,2071800974260265216
1690628832653447168,1617542948157284352,Directed,1,RETWEET,2071800974260265216
1342954117610803206,1389913567671975937,Directed,1,MENTION,2071800972813168645
1342954117610803206,1389913567671975937,Directed,1,RETWEET,2071800972813168645
2069464918190174208,2043591451750125568,Directed,3,MENTION,2071800972649926766
2069464918190174208,1720665183188922368,Directed,3,MENTION,2071800972649926766
2069464918190174208,2043591451750125568,Directed,2,REPLY,2071800972649926766
1622383265989464064,1626019505829736448,Directed,1,MENTION,2071800971999453253
1622383265989464064,1720665183188922368,Directed,1,MENTION,2071800971999453253
1622383265989464064,1626019505829736448,Directed,1,RETWEET,2071800971999453253
892175274938380289,1548645957528653824,Directed,1,MENTION,2071800971504517388
892175274938380289,1720665183188922368,Directed,1,MENTION,2071800971504517388
892175274938380289,1548645957528653824,Directed,1,REPLY,2071800971504517388
512883747,19133815,Directed,1,MENTION,2071800966815301710
512883747,1720665183188922368,Directed,1,MENTION,2071800966815301710
512883747,851583986270957568,Directed,1,MENTION,2071800966815301710
512883747,19133815,Directed,1,REPLY,2071800966815301710
1617542948157284352,2489854034,Directed,1,MENTION,2071800966286815572
1617542948157284352,1720665183188922368,Directed,1,MENTION,2071800966286815572
1617542948157284352,2489854034,Directed,1,RETWEET,2071800966286815572
61609918,1720665183188922368,Directed,1,MENTION,2071800965326389693
61609918,2041321349474299905,Directed,1,MENTION,2071800965326389693
61609918,1720665183188922368,Directed,1,RETWEET,2071800965326389693
1730717475824693248,1720665183188922368,Directed,1,MENTION,2071800964416217528
1730717475824693248,1450310992202665985,Directed,1,MENTION,2071800964416217528
1730717475824693248,17004618,Directed,1,MENTION,2071800964416217528
1730717475824693248,2049511009585618944,Directed,1,MENTION,2071800964416217528
1730717475824693248,3066800573,Directed,1,MENTION,2071800964416217528
1730717475824693248,1720665183188922368,Directed,1,REPLY,2071800964416217528
