Source,Target,Type,Weight,Interaction,post_id
2071818048005140480,1614011823405268992,Directed,1,MENTION,2072069582160810354
2071818048005140480,1614011823405268992,Directed,1,RETWEET,2072069582160810354
1937487437967843328,1245931101505212417,Directed,1,MENTION,2072069102764454307
1937487437967843328,1245931101505212417,Directed,1,REPLY,2072069102764454307
2058157522452918272,1714954429047414784,Directed,1,MENTION,2072068095716536713
2058157522452918272,1714954429047414784,Directed,1,RETWEET,2072068095716536713
1757924619770589184,1232817614545616896,Directed,1,MENTION,2072068094726422563
1757924619770589184,1232817614545616896,Directed,1,RETWEET,2072068094726422563
1438216634032853004,1816196079068540928,Directed,1,MENTION,2072068003668099246
1438216634032853004,1816196079068540928,Directed,1,RETWEET,2072068003668099246
1933635941668990976,381994113,Directed,1,MENTION,2072067896105218310
1933635941668990976,912435151786749952,Directed,1,MENTION,2072067896105218310
1933635941668990976,381994113,Directed,1,RETWEET,2072067896105218310
1128709477845303297,1919485136627802112,Directed,1,MENTION,2072067837389144147
1128709477845303297,1919485136627802112,Directed,1,RETWEET,2072067837389144147
1485054114140667907,1581800539649495041,Directed,1,MENTION,2072067649874371046
1485054114140667907,1675956029400440833,Directed,1,MENTION,2072067649874371046
1485054114140667907,1446294551556239361,Directed,1,MENTION,2072067649874371046
1485054114140667907,1581800539649495041,Directed,1,RETWEET,2072067649874371046
1726728910925082624,1518954300524744704,Directed,1,MENTION,2072067527648161994
2052875235913822212,1586483433538260998,Directed,3,MENTION,2072067208113525189
2052875235913822212,1586483433538260998,Directed,3,RETWEET,2072067208113525189
845502179540635648,1816596169599938560,Directed,2,MENTION,2072067024939864331
845502179540635648,1816596169599938560,Directed,2,RETWEET,2072067024939864331
2045253686931443712,1718066956857753600,Directed,2,MENTION,2072066948763164842
2045253686931443712,1718066956857753600,Directed,2,RETWEET,2072066948763164842
1649554189331095560,2038124302575230976,Directed,9,MENTION,2072066732605207033
1649554189331095560,2038124302575230976,Directed,9,RETWEET,2072066732605207033
1813306236047355904,1997272032581767168,Directed,3,MENTION,2072066589365579983
1813306236047355904,1997272032581767168,Directed,3,RETWEET,2072066589365579983
1707473404578955264,1816596169599938560,Directed,14,MENTION,2072066585305694259
1707473404578955264,1816596169599938560,Directed,14,RETWEET,2072066585305694259
1649554189331095560,1811646140367998976,Directed,2,MENTION,2072066547070259558
1707473404578955264,1795864690444103681,Directed,1,MENTION,2072066515697041541
2067596506215931904,1414183721280933892,Directed,1,MENTION,2072066172233683380
2067596506215931904,1414183721280933892,Directed,1,RETWEET,2072066172233683380
1489637632212676608,1865546253146406912,Directed,2,MENTION,2072066160820998354
1489637632212676608,1865546253146406912,Directed,2,RETWEET,2072066160820998354
1970971001937854467,1834296902642487296,Directed,2,MENTION,2072066058245099741
1970971001937854467,1834296902642487296,Directed,2,REPLY,2072066058245099741
2060752566837731330,1645820371491520521,Directed,1,MENTION,2072065848668221695
2060752566837731330,1645820371491520521,Directed,1,RETWEET,2072065848668221695
1203169000055877633,381994113,Directed,1,MENTION,2072065787636887696
1203169000055877633,912435151786749952,Directed,1,MENTION,2072065787636887696
1203169000055877633,381994113,Directed,1,RETWEET,2072065787636887696
1834296902642487296,1970971001937854467,Directed,1,MENTION,2072065731349615066
1834296902642487296,1970971001937854467,Directed,1,RETWEET,2072065731349615066
1349888005398552577,1489942048539037698,Directed,1,MENTION,2072065503955169677
1349888005398552577,1489942048539037698,Directed,1,RETWEET,2072065503955169677
1464307905805623302,1833400120005525504,Directed,1,MENTION,2072065486926307583
1464307905805623302,1833400120005525504,Directed,1,RETWEET,2072065486926307583
1970971001937854467,1834296902642487296,Directed,1,QUOTE,2072065275919274045
1253718322476134401,785327594552123393,Directed,1,MENTION,2072065196235825343
1253718322476134401,66499080,Directed,1,MENTION,2072065196235825343
1253718322476134401,785327594552123393,Directed,1,RETWEET,2072065196235825343
1548884420395950080,1109586726886891521,Directed,1,MENTION,2072065129995288686
1548884420395950080,1109586726886891521,Directed,1,RETWEET,2072065129995288686
1349888005398552577,1414183721280933892,Directed,1,MENTION,2072065108629405954
1349888005398552577,1414183721280933892,Directed,1,RETWEET,2072065108629405954
845502179540635648,1724847675118608384,Directed,1,MENTION,2072064727027454228
845502179540635648,1724847675118608384,Directed,1,RETWEET,2072064727027454228
1209181543547060224,1927426953490956288,Directed,1,MENTION,2072064709248110648
1209181543547060224,1927426953490956288,Directed,1,RETWEET,2072064709248110648
1869519982448586752,3047534733,Directed,1,MENTION,2072064577882271949
1869519982448586752,3047534733,Directed,1,RETWEET,2072064577882271949
1644155471115304968,1995548235705057280,Directed,1,MENTION,2072064405890552059
1644155471115304968,1995548235705057280,Directed,1,RETWEET,2072064405890552059
845502179540635648,381994113,Directed,1,MENTION,2072064309736124507
845502179540635648,912435151786749952,Directed,1,MENTION,2072064309736124507
845502179540635648,381994113,Directed,1,RETWEET,2072064309736124507
1942211630512615424,1749606325569372160,Directed,1,MENTION,2072063969141956834
1942211630512615424,1749606325569372160,Directed,1,RETWEET,2072063969141956834
1772018905130651649,1834296902642487296,Directed,1,MENTION,2072063688480031216
1772018905130651649,1834296902642487296,Directed,1,RETWEET,2072063688480031216
1253718322476134401,1844215532871880714,Directed,1,MENTION,2072063659665228002
