Source,Target,Type,Weight,Interaction,post_id
1448816390278991878,504946363,Directed,1,MENTION,2086600048935047266
1448816390278991878,504946363,Directed,1,RETWEET,2086600048935047266
1510344725559230464,1902091262540574722,Directed,1,MENTION,2086597774863192317
1510344725559230464,1902091262540574722,Directed,1,RETWEET,2086597774863192317
1692365540122333184,1005189465868890112,Directed,3,MENTION,2086597748686835865
1692365540122333184,1005189465868890112,Directed,3,RETWEET,2086597748686835865
2894427791,504946363,Directed,1,MENTION,2086596977085616128
2894427791,504946363,Directed,1,RETWEET,2086596977085616128
2894427791,402462680,Directed,1,MENTION,2086595982158856394
2894427791,402462680,Directed,1,RETWEET,2086595982158856394
2894427791,1930392859846352896,Directed,2,MENTION,2086595964538618067
2894427791,1930392859846352896,Directed,2,RETWEET,2086595964538618067
1720382762031644672,1902091262540574722,Directed,1,MENTION,2086595877532295298
1720382762031644672,1902091262540574722,Directed,1,RETWEET,2086595877532295298
1350324209994625027,2894427791,Directed,1,MENTION,2086595718584656064
1350324209994625027,2894427791,Directed,1,RETWEET,2086595718584656064
2894427791,1847814204465750016,Directed,1,MENTION,2086595213737222196
2894427791,1847814204465750016,Directed,1,RETWEET,2086595213737222196
2044903381051842560,1902091262540574722,Directed,2,MENTION,2086594259797577915
2044903381051842560,1902091262540574722,Directed,2,RETWEET,2086594259797577915
1471977362946461702,1902091262540574722,Directed,1,MENTION,2086593475890348139
1471977362946461702,1902091262540574722,Directed,1,RETWEET,2086593475890348139
1350324209994625027,1740454880513265664,Directed,1,MENTION,2086593326753460432
1350324209994625027,1740454880513265664,Directed,1,RETWEET,2086593326753460432
2894427791,35163573,Directed,1,MENTION,2086593098751111176
2894427791,35163573,Directed,1,RETWEET,2086593098751111176
962510291748687872,1444672919985065987,Directed,1,MENTION,2086590480851091733
962510291748687872,1444672919985065987,Directed,1,RETWEET,2086590480851091733
1005189465868890112,1806358778071429120,Directed,1,MENTION,2086587749205979258
1005189465868890112,1696955259732570113,Directed,1,MENTION,2086587749205979258
1780800948836683776,1005189465868890112,Directed,2,MENTION,2086578292358832240
1780800948836683776,1005189465868890112,Directed,2,RETWEET,2086578292358832240
1756550520053903360,1005189465868890112,Directed,3,MENTION,2086572270965719420
1756550520053903360,1005189465868890112,Directed,3,RETWEET,2086572270965719420
1425035372,1005189465868890112,Directed,1,MENTION,2086558249977782545
1425035372,1005189465868890112,Directed,1,RETWEET,2086558249977782545
1817561428024516608,1005189465868890112,Directed,1,MENTION,2086556916369818035
1817561428024516608,1005189465868890112,Directed,1,RETWEET,2086556916369818035
925982894446784512,1420455252,Directed,1,QUOTE,2086543772754804750
2086535494398029824,1005189465868890112,Directed,2,MENTION,2086540617203548526
2086535494398029824,1005189465868890112,Directed,2,RETWEET,2086540617203548526
2040964784682831872,1005189465868890112,Directed,2,MENTION,2086538292120735788
2040964784682831872,1005189465868890112,Directed,2,RETWEET,2086538292120735788
2048156832149958656,1005189465868890112,Directed,1,MENTION,2086537390387081684
2048156832149958656,1005189465868890112,Directed,1,RETWEET,2086537390387081684
894803448,20641934,Directed,1,QUOTE,2086532159381315838
1556272408671166464,1005189465868890112,Directed,1,MENTION,2086527110248579547
1556272408671166464,1005189465868890112,Directed,1,RETWEET,2086527110248579547
1742659481908191232,1005189465868890112,Directed,1,MENTION,2086525997953007947
1742659481908191232,1005189465868890112,Directed,1,RETWEET,2086525997953007947
1572440615492648962,1648490572943073280,Directed,1,MENTION,2086523768059363661
1572440615492648962,1648490572943073280,Directed,1,RETWEET,2086523768059363661
1681727233755426817,1880440216898662401,Directed,1,MENTION,2086523462563082733
1681727233755426817,1880440216898662401,Directed,1,RETWEET,2086523462563082733
1681727233755426817,1647420409611001858,Directed,1,MENTION,2086523436847845687
1681727233755426817,1647420409611001858,Directed,1,RETWEET,2086523436847845687
1572440615492648962,1005189465868890112,Directed,1,MENTION,2086518701784703143
1572440615492648962,1005189465868890112,Directed,1,RETWEET,2086518701784703143
1433822048598601731,1005189465868890112,Directed,3,MENTION,2086514635377680690
1433822048598601731,1005189465868890112,Directed,3,RETWEET,2086514635377680690
1718950453889642496,1648490572943073280,Directed,1,MENTION,2086513609845125346
1718950453889642496,1648490572943073280,Directed,1,RETWEET,2086513609845125346
2082594242023628800,1005189465868890112,Directed,1,MENTION,2086506726929375567
2082594242023628800,1005189465868890112,Directed,1,RETWEET,2086506726929375567
1723937548169248768,1005189465868890112,Directed,1,MENTION,2086494830666915868
1723937548169248768,1005189465868890112,Directed,1,RETWEET,2086494830666915868
2056869642660982785,1005189465868890112,Directed,1,MENTION,2086473998968197275
2056869642660982785,1005189465868890112,Directed,1,RETWEET,2086473998968197275
384496297,1420455252,Directed,1,QUOTE,2086470006066577845
1470382752,1648490572943073280,Directed,1,MENTION,2086464395731673217
1470382752,1648490572943073280,Directed,1,RETWEET,2086464395731673217
2024692101078720512,1005189465868890112,Directed,1,MENTION,2086450535817740688
2024692101078720512,1005189465868890112,Directed,1,RETWEET,2086450535817740688
1494991027454853126,1005189465868890112,Directed,1,MENTION,2086449861247860944
1494991027454853126,1005189465868890112,Directed,1,RETWEET,2086449861247860944
387140383,1005189465868890112,Directed,1,MENTION,2086444671891390777
387140383,1005189465868890112,Directed,1,RETWEET,2086444671891390777
2086416075151835136,1648490572943073280,Directed,1,MENTION,2086432487631106500
2086416075151835136,1648490572943073280,Directed,1,RETWEET,2086432487631106500
1731925785747787776,1005189465868890112,Directed,2,MENTION,2086419600741118448
1731925785747787776,1005189465868890112,Directed,2,RETWEET,2086419600741118448
1928202289698766848,1648490572943073280,Directed,1,MENTION,2086416593911750731
1928202289698766848,1648490572943073280,Directed,1,RETWEET,2086416593911750731
2014218858903580672,1005189465868890112,Directed,2,MENTION,2086415707235852310
2014218858903580672,1005189465868890112,Directed,2,RETWEET,2086415707235852310
1702787844224262144,1648490572943073280,Directed,1,MENTION,2086414758551441789
1702787844224262144,1648490572943073280,Directed,1,RETWEET,2086414758551441789
180069520,1005189465868890112,Directed,2,MENTION,2086405816047800759
180069520,1005189465868890112,Directed,2,RETWEET,2086405816047800759
1683733775434358784,1005189465868890112,Directed,1,MENTION,2086402504493842582
1683733775434358784,1005189465868890112,Directed,1,RETWEET,2086402504493842582
1441166190,1005189465868890112,Directed,1,MENTION,2086397097595568580
1441166190,1005189465868890112,Directed,1,RETWEET,2086397097595568580
1558657990085021696,1005189465868890112,Directed,1,MENTION,2086396711707046340
1558657990085021696,1005189465868890112,Directed,1,RETWEET,2086396711707046340
1910157430480162816,1005189465868890112,Directed,2,MENTION,2086388286772113472
1910157430480162816,1005189465868890112,Directed,2,RETWEET,2086388286772113472
1898457561910964224,1005189465868890112,Directed,1,MENTION,2086387595148222600
1898457561910964224,1005189465868890112,Directed,1,RETWEET,2086387595148222600
1888710233918472192,1005189465868890112,Directed,1,MENTION,2086382114316951863
1888710233918472192,1005189465868890112,Directed,1,RETWEET,2086382114316951863
2042690480404660224,1005189465868890112,Directed,1,MENTION,2086374302501286215
2042690480404660224,1005189465868890112,Directed,1,RETWEET,2086374302501286215
1903549034088054784,1648490572943073280,Directed,1,MENTION,2086373536147423741
1903549034088054784,1648490572943073280,Directed,1,RETWEET,2086373536147423741
303454526,1005189465868890112,Directed,2,MENTION,2086365649832644988
303454526,1005189465868890112,Directed,2,RETWEET,2086365649832644988
1671253949138235393,1005189465868890112,Directed,1,MENTION,2086360740924194861
1671253949138235393,1005189465868890112,Directed,1,RETWEET,2086360740924194861
1942624882010800128,1005189465868890112,Directed,1,MENTION,2086353578302562509
1942624882010800128,1005189465868890112,Directed,1,RETWEET,2086353578302562509
1468799473329524738,1005189465868890112,Directed,1,MENTION,2086343565630734670
1468799473329524738,1005189465868890112,Directed,1,RETWEET,2086343565630734670
2035085718016729091,1005189465868890112,Directed,2,MENTION,2086339867831677041
2035085718016729091,1005189465868890112,Directed,2,RETWEET,2086339867831677041
2072521672976953344,1005189465868890112,Directed,2,MENTION,2086338096086360401
2072521672976953344,1005189465868890112,Directed,2,RETWEET,2086338096086360401
1772849181679579136,1005189465868890112,Directed,2,MENTION,2086337643659571582
1772849181679579136,1005189465868890112,Directed,2,RETWEET,2086337643659571582
1895238161233547264,1005189465868890112,Directed,1,MENTION,2086337504051863848
1895238161233547264,1005189465868890112,Directed,1,RETWEET,2086337504051863848
1565468455704444933,1005189465868890112,Directed,1,MENTION,2086329707721589200
1565468455704444933,1005189465868890112,Directed,1,RETWEET,2086329707721589200
1529942660160667661,1005189465868890112,Directed,1,MENTION,2086328244547019197
1529942660160667661,1005189465868890112,Directed,1,RETWEET,2086328244547019197
2031270458306473985,1005189465868890112,Directed,1,MENTION,2086327346022207900
2031270458306473985,1005189465868890112,Directed,1,RETWEET,2086327346022207900
1003711856597438464,1005189465868890112,Directed,1,MENTION,2086327136416071948
1003711856597438464,1005189465868890112,Directed,1,RETWEET,2086327136416071948
1739397167016525824,1005189465868890112,Directed,1,MENTION,2086325259901296917
1739397167016525824,1005189465868890112,Directed,1,RETWEET,2086325259901296917
2043914065911631872,1005189465868890112,Directed,2,MENTION,2086322248680444169
2043914065911631872,1005189465868890112,Directed,2,RETWEET,2086322248680444169
2001559387303772160,1005189465868890112,Directed,1,MENTION,2086316065806512461
2001559387303772160,1005189465868890112,Directed,1,RETWEET,2086316065806512461
1485121893044740102,1005189465868890112,Directed,2,MENTION,2086314942400008538
1485121893044740102,1005189465868890112,Directed,2,RETWEET,2086314942400008538
1411094396410515457,1005189465868890112,Directed,1,MENTION,2086312908162507068
1411094396410515457,1005189465868890112,Directed,1,RETWEET,2086312908162507068
1248641851256705033,1503664258323816448,Directed,1,MENTION,2086312898012258398
1248641851256705033,1503664258323816448,Directed,1,RETWEET,2086312898012258398
1789244231795482625,1005189465868890112,Directed,1,MENTION,2086310234083975574
1789244231795482625,1005189465868890112,Directed,1,RETWEET,2086310234083975574
2077147434774360064,1005189465868890112,Directed,1,MENTION,2086305015379935612
2077147434774360064,1005189465868890112,Directed,1,RETWEET,2086305015379935612
1718172348153544704,1005189465868890112,Directed,1,MENTION,2086301563392233551
1718172348153544704,1005189465868890112,Directed,1,RETWEET,2086301563392233551
1502468431228121091,1005189465868890112,Directed,1,MENTION,2086299123519488181
1502468431228121091,1005189465868890112,Directed,1,RETWEET,2086299123519488181
1840194384245207040,1005189465868890112,Directed,2,MENTION,2086297588462948688
1840194384245207040,1005189465868890112,Directed,2,RETWEET,2086297588462948688
2065172777519271936,1005189465868890112,Directed,1,MENTION,2086297437568741624
2065172777519271936,1005189465868890112,Directed,1,RETWEET,2086297437568741624
1756526240117276672,1648490572943073280,Directed,1,MENTION,2086284347355672643
1756526240117276672,1648490572943073280,Directed,1,RETWEET,2086284347355672643
1864966145247211520,1005189465868890112,Directed,1,MENTION,2086284021089140875
1864966145247211520,1005189465868890112,Directed,1,RETWEET,2086284021089140875
3305426754,1005189465868890112,Directed,1,MENTION,2086282719596527967
3305426754,1005189465868890112,Directed,1,RETWEET,2086282719596527967
1940607777497665537,1005189465868890112,Directed,3,MENTION,2086282426821624073
1940607777497665537,1005189465868890112,Directed,3,RETWEET,2086282426821624073
1554070846955732992,1005189465868890112,Directed,1,MENTION,2086281414635364644
1554070846955732992,1005189465868890112,Directed,1,RETWEET,2086281414635364644
1544011422572609537,1005189465868890112,Directed,2,MENTION,2086265080002273586
1544011422572609537,1005189465868890112,Directed,2,RETWEET,2086265080002273586
202028145,1648490572943073280,Directed,1,MENTION,2086263774021890279
202028145,1648490572943073280,Directed,1,RETWEET,2086263774021890279
1005189465868890112,4195265110,Directed,8,MENTION,2086257196762083771
1005189465868890112,222616192,Directed,8,MENTION,2086257196762083771
2036200749538095104,1644476393269362689,Directed,1,MENTION,2086248232456204690
2036200749538095104,1644476393269362689,Directed,1,RETWEET,2086248232456204690
2046621008916877313,1005189465868890112,Directed,1,MENTION,2086225465371472320
2046621008916877313,1005189465868890112,Directed,1,RETWEET,2086225465371472320
1487606864250613763,1005189465868890112,Directed,1,MENTION,2086204970433495356
1487606864250613763,1005189465868890112,Directed,1,RETWEET,2086204970433495356
1759260467086708736,1005189465868890112,Directed,1,MENTION,2086198993906725211
1759260467086708736,1005189465868890112,Directed,1,RETWEET,2086198993906725211
1109659916,1005189465868890112,Directed,1,MENTION,2086189943173283922
1109659916,1005189465868890112,Directed,1,RETWEET,2086189943173283922
1484653853157036041,1005189465868890112,Directed,1,MENTION,2086175730203763164
1484653853157036041,1005189465868890112,Directed,1,RETWEET,2086175730203763164
1545504209688301577,1648490572943073280,Directed,1,MENTION,2086171486935466191
1545504209688301577,1648490572943073280,Directed,1,RETWEET,2086171486935466191
1383008506207420420,1005189465868890112,Directed,1,MENTION,2086170108229976496
1383008506207420420,1005189465868890112,Directed,1,RETWEET,2086170108229976496
2019777768276611073,1005189465868890112,Directed,1,MENTION,2086164017589194939
2019777768276611073,1005189465868890112,Directed,1,RETWEET,2086164017589194939
1422708327201521664,1571192559141003265,Directed,1,MENTION,2086163564927004908
1422708327201521664,1571192559141003265,Directed,1,RETWEET,2086163564927004908
1649601182971621377,1005189465868890112,Directed,1,MENTION,2086162412105851214
1649601182971621377,1005189465868890112,Directed,1,RETWEET,2086162412105851214
1773853057018642433,1648490572943073280,Directed,1,MENTION,2086154825209725178
1773853057018642433,1648490572943073280,Directed,1,RETWEET,2086154825209725178
1756763926698557440,1648490572943073280,Directed,1,MENTION,2086153835890757821
1756763926698557440,1648490572943073280,Directed,1,RETWEET,2086153835890757821
1756763926698557440,1005189465868890112,Directed,1,MENTION,2086153141607612747
1756763926698557440,1005189465868890112,Directed,1,RETWEET,2086153141607612747
1905814818096869376,1005189465868890112,Directed,1,MENTION,2086149918888976539
1905814818096869376,1005189465868890112,Directed,1,RETWEET,2086149918888976539
1594834323512999936,1880440216898662401,Directed,1,MENTION,2086143014217425096
1594834323512999936,1880440216898662401,Directed,1,RETWEET,2086143014217425096
91932748,1005189465868890112,Directed,1,MENTION,2086122490238029852
91932748,1005189465868890112,Directed,1,RETWEET,2086122490238029852
2893709740,1005189465868890112,Directed,1,MENTION,2086114413564534807
2893709740,1005189465868890112,Directed,1,RETWEET,2086114413564534807
2008133723041275904,1005189465868890112,Directed,1,MENTION,2086111646271873112
2008133723041275904,1005189465868890112,Directed,1,RETWEET,2086111646271873112
1928593059744210945,1648490572943073280,Directed,1,MENTION,2086108689937600742
