Source,Target,Type,Weight,Interaction,post_id
2150540791,27601164,Directed,2,MENTION,2086013254891950513
2150540791,27601164,Directed,2,RETWEET,2086013254891950513
1368786964074295296,1020515988272533511,Directed,2,MENTION,2086013220054327364
1368786964074295296,1020515988272533511,Directed,1,REPLY,2086013220054327364
1521808109190393859,47519500,Directed,1,MENTION,2086013215780344313
1521808109190393859,47519500,Directed,1,RETWEET,2086013215780344313
348283673,3275352889,Directed,1,MENTION,2086013207332950375
348283673,3275352889,Directed,1,RETWEET,2086013207332950375
1300175379467063308,850359005486747648,Directed,1,MENTION,2086013179381928155
1300175379467063308,850359005486747648,Directed,1,RETWEET,2086013179381928155
3583066521,1645284927200718849,Directed,1,MENTION,2086013130690236895
3583066521,1645284927200718849,Directed,1,RETWEET,2086013130690236895
2040373205643198464,1368786964074295296,Directed,1,MENTION,2086013127259217927
2040373205643198464,1368786964074295296,Directed,1,RETWEET,2086013127259217927
3160591267,189998617,Directed,1,MENTION,2086013124008636604
3160591267,189998617,Directed,1,RETWEET,2086013124008636604
1368786964074295296,1020515988272533511,Directed,1,RETWEET,2086013119588106598
1938541256575217664,1512524390801551363,Directed,1,MENTION,2086013106736755109
1938541256575217664,1512524390801551363,Directed,1,RETWEET,2086013106736755109
1953600777215168512,1150470446485135361,Directed,1,QUOTE,2086013091955749173
1938541256575217664,1694059021555122178,Directed,1,MENTION,2086013086478278690
1938541256575217664,1694059021555122178,Directed,1,RETWEET,2086013086478278690
1490249808212156418,1570264597633941504,Directed,1,QUOTE,2086013071064215868
1938541256575217664,1132718767979532295,Directed,1,MENTION,2086013039128817782
1938541256575217664,1132718767979532295,Directed,1,RETWEET,2086013039128817782
40319108,1150470446485135361,Directed,6,MENTION,2086013025559945255
40319108,1150470446485135361,Directed,6,REPLY,2086013025559945255
1938541256575217664,1488990297308737539,Directed,1,MENTION,2086013021244297324
1938541256575217664,1488990297308737539,Directed,1,RETWEET,2086013021244297324
1938541256575217664,1933954475212836864,Directed,1,MENTION,2086013004349686092
1938541256575217664,1933954475212836864,Directed,1,RETWEET,2086013004349686092
1938541256575217664,1747979341655347200,Directed,1,MENTION,2086012969616617836
1938541256575217664,1747979341655347200,Directed,1,RETWEET,2086012969616617836
1954257482819211264,1637885872052772876,Directed,4,MENTION,2086012953694753075
1954257482819211264,1637885872052772876,Directed,4,RETWEET,2086012953694753075
1938541256575217664,1552261308581613569,Directed,1,MENTION,2086012953074311278
1938541256575217664,1552261308581613569,Directed,1,RETWEET,2086012953074311278
1938541256575217664,1696611319632240640,Directed,1,MENTION,2086012905519300751
1938541256575217664,1696611319632240640,Directed,1,RETWEET,2086012905519300751
996277591995629568,714687271769935874,Directed,1,MENTION,2086012889694081062
996277591995629568,714687271769935874,Directed,1,RETWEET,2086012889694081062
1521808109190393859,1544456333667094529,Directed,1,MENTION,2086012831644942487
1521808109190393859,1544456333667094529,Directed,1,RETWEET,2086012831644942487
1281375643817648128,27601164,Directed,2,MENTION,2086012816180277650
1281375643817648128,27601164,Directed,2,RETWEET,2086012816180277650
1368786964074295296,1048803259,Directed,1,MENTION,2086012794697335111
1368786964074295296,1048803259,Directed,1,REPLY,2086012794697335111
1521808109190393859,336029515,Directed,1,MENTION,2086012784102560002
1521808109190393859,336029515,Directed,1,RETWEET,2086012784102560002
1698215278772137984,1864888823022284800,Directed,1,MENTION,2086012775051170034
1698215278772137984,1864888823022284800,Directed,1,RETWEET,2086012775051170034
1809041621960511488,1199401739482320896,Directed,1,MENTION,2086012712438374752
1809041621960511488,1199401739482320896,Directed,1,RETWEET,2086012712438374752
2039451053620342784,1864888823022284800,Directed,1,MENTION,2086012692930994615
2039451053620342784,1864888823022284800,Directed,1,RETWEET,2086012692930994615
1521808109190393859,1940270943441412096,Directed,2,MENTION,2086012640091119649
1521808109190393859,1940270943441412096,Directed,2,RETWEET,2086012640091119649
627404074,1973154790340435974,Directed,1,QUOTE,2086012583509922089
1572498802740797443,1607602658482819072,Directed,1,MENTION,2086012582435893539
1572498802740797443,1607602658482819072,Directed,1,RETWEET,2086012582435893539
1037722804215406592,189998617,Directed,1,MENTION,2086012563582828994
1037722804215406592,189998617,Directed,1,RETWEET,2086012563582828994
1572498802740797443,1150470446485135361,Directed,7,MENTION,2086012488563171495
1572498802740797443,1150470446485135361,Directed,7,RETWEET,2086012488563171495
