Source,Target,Type,Weight,Interaction,post_id
1705657711952605184,1334570033754693633,Directed,1,MENTION,2071820770603344378
1705657711952605184,1334570033754693633,Directed,2,RETWEET,2071820770603344378
1767644779431485440,1726229782864482304,Directed,1,MENTION,2071820707198108031
1767644779431485440,1726229782864482304,Directed,2,RETWEET,2071820707198108031
1383607791449899008,1334570033754693633,Directed,1,MENTION,2071820677842415618
1383607791449899008,1334570033754693633,Directed,2,RETWEET,2071820677842415618
1598153341,1334570033754693633,Directed,1,MENTION,2071820648998183125
1598153341,1334570033754693633,Directed,2,RETWEET,2071820648998183125
1038960516926988291,1334570033754693633,Directed,1,MENTION,2071820622720602564
1038960516926988291,1334570033754693633,Directed,2,RETWEET,2071820622720602564
147810926,1387926298199314436,Directed,1,MENTION,2071820560074526874
147810926,1387926298199314436,Directed,2,RETWEET,2071820560074526874
1640293576524591104,1387926298199314436,Directed,1,MENTION,2071820547634385366
1640293576524591104,1387926298199314436,Directed,2,RETWEET,2071820547634385366
1314265614190612481,1387926298199314436,Directed,1,MENTION,2071820530617811219
1314265614190612481,1387926298199314436,Directed,2,RETWEET,2071820530617811219
1669389741991526614,1334570033754693633,Directed,1,MENTION,2071820509637996980
1669389741991526614,1334570033754693633,Directed,2,RETWEET,2071820509637996980
1307027513462255616,1334570033754693633,Directed,1,MENTION,2071820505150263547
1307027513462255616,1334570033754693633,Directed,2,RETWEET,2071820505150263547
1879182072012771328,1334570033754693633,Directed,1,MENTION,2071820492235768271
1879182072012771328,1334570033754693633,Directed,2,RETWEET,2071820492235768271
1557419183004057603,1387926298199314436,Directed,1,MENTION,2071820485457780843
1557419183004057603,1387926298199314436,Directed,2,RETWEET,2071820485457780843
1515102726212001795,1048264698930614272,Directed,1,MENTION,2071820454835192194
1515102726212001795,1048264698930614272,Directed,1,RETWEET,2071820454835192194
1659745200833544196,1036957264861585408,Directed,1,MENTION,2071820435897913609
1659745200833544196,1036957264861585408,Directed,4,RETWEET,2071820435897913609
1329243492695027712,1334570033754693633,Directed,1,MENTION,2071820417791144416
1329243492695027712,1334570033754693633,Directed,2,RETWEET,2071820417791144416
1520252177574350848,839280506931924992,Directed,1,MENTION,2071820353375215623
1520252177574350848,1272933191750430721,Directed,1,MENTION,2071820353375215623
1520252177574350848,839280506931924992,Directed,2,RETWEET,2071820353375215623
1239198276039127041,1334570033754693633,Directed,1,MENTION,2071820341953867984
1239198276039127041,1334570033754693633,Directed,2,RETWEET,2071820341953867984
1521027047350407168,1334570033754693633,Directed,1,MENTION,2071820240103874948
1521027047350407168,1334570033754693633,Directed,2,RETWEET,2071820240103874948
1279905735497973760,1334570033754693633,Directed,1,MENTION,2071820225733927133
1279905735497973760,1334570033754693633,Directed,2,RETWEET,2071820225733927133
1560791264865443840,1334570033754693633,Directed,1,MENTION,2071820213159416093
1560791264865443840,1334570033754693633,Directed,2,RETWEET,2071820213159416093
1479260202943791105,1718764117547204608,Directed,1,MENTION,2071820193936904334
1479260202943791105,1718764117547204608,Directed,1,RETWEET,2071820193936904334
1351508407119822850,1334570033754693633,Directed,1,MENTION,2071820193903632401
