Source,Target,Type,Weight,Interaction,post_id
1990651328394350592,995458744795398145,Directed,1,MENTION,2085946738964083060
1990651328394350592,995458744795398145,Directed,1,RETWEET,2085946738964083060
1496227321862361098,3547242741,Directed,1,MENTION,2085946732819464597
1496227321862361098,3547242741,Directed,1,RETWEET,2085946732819464597
1451929114873630722,1408974277450383368,Directed,1,MENTION,2085946719972339822
1451929114873630722,1408974277450383368,Directed,1,RETWEET,2085946719972339822
1003013062989959169,848719760766279680,Directed,1,MENTION,2085946719078883620
1003013062989959169,848719760766279680,Directed,1,RETWEET,2085946719078883620
912475641534181376,1516230252661395457,Directed,1,MENTION,2085946714372862367
912475641534181376,1673552401368752130,Directed,1,MENTION,2085946714372862367
912475641534181376,1516230252661395457,Directed,1,RETWEET,2085946714372862367
2068235253081088000,1274367275953504257,Directed,1,MENTION,2085946712909037572
2068235253081088000,1274367275953504257,Directed,1,RETWEET,2085946712909037572
1673144079021142017,995458744795398145,Directed,1,MENTION,2085946704772370885
1673144079021142017,995458744795398145,Directed,1,RETWEET,2085946704772370885
1496227321862361098,2009635764485988352,Directed,1,MENTION,2085946700342886897
1496227321862361098,2009635764485988352,Directed,1,RETWEET,2085946700342886897
1129552542965403648,995458744795398145,Directed,1,MENTION,2085946699055243322
1129552542965403648,995458744795398145,Directed,1,RETWEET,2085946699055243322
3031646962,1821615618241499136,Directed,1,MENTION,2085946693238092170
3031646962,1821615618241499136,Directed,1,RETWEET,2085946693238092170
1496227321862361098,995458744795398145,Directed,1,MENTION,2085946689278386466
1496227321862361098,995458744795398145,Directed,1,RETWEET,2085946689278386466
1594036247193735168,1487599762056564743,Directed,1,MENTION,2085946659213848919
1594036247193735168,1068205448728240128,Directed,1,MENTION,2085946659213848919
1594036247193735168,1487599762056564743,Directed,1,RETWEET,2085946659213848919
1805212072680329216,995458744795398145,Directed,1,MENTION,2085946638011351463
1805212072680329216,995458744795398145,Directed,1,RETWEET,2085946638011351463
1541982508698451969,995458744795398145,Directed,1,MENTION,2085946583275724842
1541982508698451969,995458744795398145,Directed,1,RETWEET,2085946583275724842
1348658972702760971,1257310895069249536,Directed,1,MENTION,2085946555601715685
1348658972702760971,1257310895069249536,Directed,1,RETWEET,2085946555601715685
2058606821682675712,1578901176665481216,Directed,1,MENTION,2085946545313100051
2058606821682675712,1578901176665481216,Directed,1,RETWEET,2085946545313100051
1541982508698451969,1974849892268011520,Directed,1,MENTION,2085946543643693435
1541982508698451969,1974849892268011520,Directed,1,RETWEET,2085946543643693435
1568402722075852803,1830286985467965440,Directed,1,MENTION,2085946536022720947
1568402722075852803,1830286985467965440,Directed,1,RETWEET,2085946536022720947
1428045583839895553,995458744795398145,Directed,1,MENTION,2085946534747582674
1428045583839895553,995458744795398145,Directed,1,RETWEET,2085946534747582674
1435254177761009676,995458744795398145,Directed,1,MENTION,2085946530599407763
1435254177761009676,995458744795398145,Directed,1,RETWEET,2085946530599407763
1783674266585542656,1710761389424328704,Directed,1,MENTION,2085946514891763893
1783674266585542656,1710761389424328704,Directed,1,RETWEET,2085946514891763893
1620561688180281344,995458744795398145,Directed,1,MENTION,2085946508520706382
1620561688180281344,995458744795398145,Directed,1,RETWEET,2085946508520706382
1505157789362049034,3306567516,Directed,1,MENTION,2085946507681829276
1505157789362049034,3306567516,Directed,1,RETWEET,2085946507681829276
2028168472564482049,995458744795398145,Directed,1,MENTION,2085946493479837837
2028168472564482049,995458744795398145,Directed,1,RETWEET,2085946493479837837
1242641873346293761,1834920705538113536,Directed,1,MENTION,2085946484386857139
1242641873346293761,1834920705538113536,Directed,1,RETWEET,2085946484386857139
1235264980305555456,995458744795398145,Directed,1,MENTION,2085946470071410777
1235264980305555456,995458744795398145,Directed,1,RETWEET,2085946470071410777
2058606821682675712,1786352661207326720,Directed,1,MENTION,2085946460349034511
2058606821682675712,1411232992610115584,Directed,1,MENTION,2085946460349034511
2058606821682675712,1156095617875058693,Directed,1,MENTION,2085946460349034511
2058606821682675712,1786352661207326720,Directed,1,RETWEET,2085946460349034511
1962312849260183552,1365850243791810561,Directed,1,MENTION,2085946449196364100
1962312849260183552,1365850243791810561,Directed,1,RETWEET,2085946449196364100
2058606821682675712,1665195220261126145,Directed,1,MENTION,2085946443504734401
2058606821682675712,1665195220261126145,Directed,1,RETWEET,2085946443504734401
1451929114873630722,995458744795398145,Directed,1,MENTION,2085946440979767755
1451929114873630722,995458744795398145,Directed,1,RETWEET,2085946440979767755
1324029746750070787,2073657224162148352,Directed,1,MENTION,2085946438731628563
1324029746750070787,2073657224162148352,Directed,1,RETWEET,2085946438731628563
1996381231727136769,995458744795398145,Directed,1,MENTION,2085946395702313158
1996381231727136769,995458744795398145,Directed,1,RETWEET,2085946395702313158
765816480227205120,1707897784043503617,Directed,1,MENTION,2085946378421772500
765816480227205120,1707897784043503617,Directed,1,RETWEET,2085946378421772500
984171140460568576,1497225480470151208,Directed,1,MENTION,2085946376018333815
984171140460568576,1497225480470151208,Directed,1,REPLY,2085946376018333815
2047141274206261248,1682217382394077184,Directed,1,MENTION,2085946375028768893
2047141274206261248,1682217382394077184,Directed,1,RETWEET,2085946375028768893
1987308256755404800,2054160047718932480,Directed,1,MENTION,2085946323510202488
1987308256755404800,2054160047718932480,Directed,1,RETWEET,2085946323510202488
1275286912316645376,1162695381454610433,Directed,1,MENTION,2085946321421124017
1275286912316645376,1162695381454610433,Directed,1,RETWEET,2085946321421124017
1800778823459319811,995458744795398145,Directed,1,MENTION,2085946316262092828
1800778823459319811,995458744795398145,Directed,1,RETWEET,2085946316262092828
1944646442976784385,1805301958825447424,Directed,1,MENTION,2085946312894071274
1944646442976784385,1805301958825447424,Directed,1,RETWEET,2085946312894071274
1756124342134476800,905110249509617664,Directed,1,MENTION,2085946303616328149
1756124342134476800,905110249509617664,Directed,1,RETWEET,2085946303616328149
2058606821682675712,1292056978622218240,Directed,1,MENTION,2085946294611165225
2058606821682675712,1292056978622218240,Directed,1,RETWEET,2085946294611165225
2023654784193228804,995458744795398145,Directed,1,MENTION,2085946279373513183
2023654784193228804,995458744795398145,Directed,1,RETWEET,2085946279373513183
2084493064261730304,1974849892268011520,Directed,1,MENTION,2085946262646349939
2084493064261730304,1974849892268011520,Directed,1,RETWEET,2085946262646349939
1517491066098040832,1112091451284832256,Directed,1,MENTION,2085946259228299752
1517491066098040832,1860420403925024768,Directed,1,MENTION,2085946259228299752
1517491066098040832,1262560113748926466,Directed,1,MENTION,2085946259228299752
1517491066098040832,1112091451284832256,Directed,1,RETWEET,2085946259228299752
1776746204921032704,995458744795398145,Directed,1,MENTION,2085946258863128920
1776746204921032704,995458744795398145,Directed,1,RETWEET,2085946258863128920
73216553,995458744795398145,Directed,1,MENTION,2085946250365464966
73216553,995458744795398145,Directed,1,RETWEET,2085946250365464966
1259601513669779456,2067174477826326529,Directed,1,MENTION,2085946242102694308
1259601513669779456,2067174477826326529,Directed,1,RETWEET,2085946242102694308
1857224397217759232,1682217382394077184,Directed,1,MENTION,2085946237669233022
1857224397217759232,1682217382394077184,Directed,1,RETWEET,2085946237669233022
1277438857399631873,1974849892268011520,Directed,1,MENTION,2085946231449116708
1277438857399631873,1974849892268011520,Directed,1,RETWEET,2085946231449116708
2080029196877750272,1408974277450383368,Directed,1,MENTION,2085946214176964779
2080029196877750272,2323116710,Directed,1,MENTION,2085946214176964779
2080029196877750272,2070803362057187328,Directed,1,MENTION,2085946214176964779
2080029196877750272,1408974277450383368,Directed,1,REPLY,2085946214176964779
1679503200007618561,3306567516,Directed,1,MENTION,2085946200809738305
1679503200007618561,3306567516,Directed,1,RETWEET,2085946200809738305
2058606821682675712,2009635764485988352,Directed,1,MENTION,2085946200230887554
2058606821682675712,2009635764485988352,Directed,1,RETWEET,2085946200230887554
1562991540628164608,995458744795398145,Directed,1,MENTION,2085946194354724882
1562991540628164608,995458744795398145,Directed,1,RETWEET,2085946194354724882
929843519723884545,995458744795398145,Directed,1,MENTION,2085946193922719984
929843519723884545,995458744795398145,Directed,1,RETWEET,2085946193922719984
1487866217968943110,1378461643202420738,Directed,1,MENTION,2085946191364210907
1487866217968943110,1378461643202420738,Directed,1,RETWEET,2085946191364210907
1525645381803118593,1590522785670963200,Directed,1,MENTION,2085946189023768933
1525645381803118593,1590522785670963200,Directed,1,RETWEET,2085946189023768933
1910410943827501058,1364470160329895940,Directed,1,MENTION,2085946174419177612
1910410943827501058,1364470160329895940,Directed,1,RETWEET,2085946174419177612
1613973028349804544,995458744795398145,Directed,1,MENTION,2085946164591886420
1613973028349804544,995458744795398145,Directed,1,RETWEET,2085946164591886420
1593026071636725761,1466037435876487179,Directed,1,MENTION,2085946158803718635
1593026071636725761,1466037435876487179,Directed,1,RETWEET,2085946158803718635
1525645381803118593,947936573718519810,Directed,1,MENTION,2085946157474144407
1525645381803118593,947936573718519810,Directed,1,RETWEET,2085946157474144407
1525645381803118593,1338628927040974851,Directed,1,MENTION,2085946146103386188
1525645381803118593,1338628927040974851,Directed,1,RETWEET,2085946146103386188
3031646962,995458744795398145,Directed,1,MENTION,2085946141884170567
3031646962,995458744795398145,Directed,1,RETWEET,2085946141884170567
1828399178394796032,1682217382394077184,Directed,1,MENTION,2085946137727349242
1828399178394796032,1682217382394077184,Directed,1,RETWEET,2085946137727349242
1259601513669779456,995458744795398145,Directed,1,MENTION,2085946125140275606
1259601513669779456,995458744795398145,Directed,1,RETWEET,2085946125140275606
1325620278202933249,995458744795398145,Directed,1,MENTION,2085946105116627371
1325620278202933249,995458744795398145,Directed,1,RETWEET,2085946105116627371
1880718089370890240,1974849892268011520,Directed,1,MENTION,2085946101757030790
1880718089370890240,1974849892268011520,Directed,1,RETWEET,2085946101757030790
2058606821682675712,1861165049835888640,Directed,1,MENTION,2085946095033520501
2058606821682675712,1861165049835888640,Directed,1,RETWEET,2085946095033520501
1651374641082953731,995458744795398145,Directed,1,MENTION,2085946053866525081
1651374641082953731,995458744795398145,Directed,1,RETWEET,2085946053866525081
1629295056581451777,995458744795398145,Directed,1,MENTION,2085946045477859369
1629295056581451777,995458744795398145,Directed,1,RETWEET,2085946045477859369
1291039680268578816,995458744795398145,Directed,1,MENTION,2085946038100033709
1291039680268578816,995458744795398145,Directed,1,RETWEET,2085946038100033709
1557883632978649088,2007938162161758208,Directed,1,MENTION,2085946036434981130
1557883632978649088,2007938162161758208,Directed,1,RETWEET,2085946036434981130
1525645381803118593,872545836248571906,Directed,1,MENTION,2085946036179091914
1525645381803118593,872545836248571906,Directed,1,RETWEET,2085946036179091914
1781525182307270656,1974849892268011520,Directed,1,MENTION,2085946023248101544
1781525182307270656,1974849892268011520,Directed,1,RETWEET,2085946023248101544
1923461895790477312,1839905841337466880,Directed,1,QUOTE,2085946022199505050
1809161884425498624,995458744795398145,Directed,1,MENTION,2085945996433891790
1809161884425498624,995458744795398145,Directed,1,RETWEET,2085945996433891790
1525645381803118593,1099080393645584385,Directed,2,MENTION,2085945948274831732
1525645381803118593,4599506952,Directed,1,MENTION,2085945948274831732
1525645381803118593,1099080393645584385,Directed,2,RETWEET,2085945948274831732
1447707504142548993,995458744795398145,Directed,1,MENTION,2085945944965840930
1447707504142548993,995458744795398145,Directed,1,RETWEET,2085945944965840930
2227521475,995458744795398145,Directed,1,MENTION,2085945934207140150
2227521475,995458744795398145,Directed,1,RETWEET,2085945934207140150
2058606821682675712,1281405326609264640,Directed,1,MENTION,2085945933687062693
2058606821682675712,1281405326609264640,Directed,1,RETWEET,2085945933687062693
2085909356780896257,1909679756897140738,Directed,2,MENTION,2085945925617533010
2085909356780896257,1909679756897140738,Directed,2,RETWEET,2085945925617533010
1740837533053845504,995458744795398145,Directed,1,MENTION,2085945920705667215
1740837533053845504,995458744795398145,Directed,1,RETWEET,2085945920705667215
1996381231727136769,2057272572966764544,Directed,1,MENTION,2085945917815840836
1996381231727136769,2057272572966764544,Directed,1,RETWEET,2085945917815840836
2077043794768248832,995458744795398145,Directed,1,MENTION,2085945905119642064
2077043794768248832,995458744795398145,Directed,1,RETWEET,2085945905119642064
2085909356780896257,1988232703536492545,Directed,1,MENTION,2085945900686553391
2085909356780896257,1988232703536492545,Directed,1,RETWEET,2085945900686553391
1367949814147801096,995458744795398145,Directed,1,MENTION,2085945887616868562
1367949814147801096,995458744795398145,Directed,1,RETWEET,2085945887616868562
1432340123811651586,1958485622001397760,Directed,1,MENTION,2085945880839156043
1432340123811651586,1958485622001397760,Directed,1,RETWEET,2085945880839156043
917810948609662976,1830286985467965440,Directed,1,MENTION,2085945877747691624
917810948609662976,1830286985467965440,Directed,1,RETWEET,2085945877747691624
2030333102481199104,1974849892268011520,Directed,1,MENTION,2085945864065810481
2030333102481199104,1974849892268011520,Directed,1,RETWEET,2085945864065810481
1496926184583704576,995458744795398145,Directed,1,MENTION,2085945855870218250
1496926184583704576,995458744795398145,Directed,1,RETWEET,2085945855870218250
2085909356780896257,1638677596060766209,Directed,1,MENTION,2085945833296716054
2085909356780896257,1638677596060766209,Directed,1,RETWEET,2085945833296716054
1880538120455847936,1112091451284832256,Directed,1,MENTION,2085945809774764476
1880538120455847936,1860420403925024768,Directed,1,MENTION,2085945809774764476
1880538120455847936,1262560113748926466,Directed,1,MENTION,2085945809774764476
1880538120455847936,1112091451284832256,Directed,1,RETWEET,2085945809774764476
2029002831865561088,1451314655452930048,Directed,1,MENTION,2085945793781936244
2029002831865561088,1451314655452930048,Directed,1,RETWEET,2085945793781936244
1847846975506653184,1829837186721808385,Directed,1,MENTION,2085945781916463217
1847846975506653184,1829837186721808385,Directed,1,RETWEET,2085945781916463217
917810948609662976,2067174477826326529,Directed,1,MENTION,2085945776161653230
917810948609662976,2067174477826326529,Directed,1,RETWEET,2085945776161653230
1665360241284743168,995458744795398145,Directed,1,MENTION,2085945770969043060
1665360241284743168,995458744795398145,Directed,1,RETWEET,2085945770969043060
1840523720013574144,1682217382394077184,Directed,1,MENTION,2085945770004336691
1840523720013574144,1682217382394077184,Directed,1,RETWEET,2085945770004336691
1525645381803118593,790380399318880257,Directed,1,MENTION,2085945762551116089
1949685639185571840,995458744795398145,Directed,1,MENTION,2085945757194981509
1949685639185571840,995458744795398145,Directed,1,RETWEET,2085945757194981509
1153318187741712385,995458744795398145,Directed,1,MENTION,2085945754351194128
1153318187741712385,995458744795398145,Directed,1,RETWEET,2085945754351194128
1417872584348246020,1974849892268011520,Directed,1,MENTION,2085945741923484153
