Source,Target,Type,Weight,Interaction,post_id
1241033778329317376,582230335,Directed,1,MENTION,2089215970451857889
1241033778329317376,582230335,Directed,1,RETWEET,2089215970451857889
2047054922928005120,2806914710,Directed,1,MENTION,2089215969642332637
2047054922928005120,2806914710,Directed,1,RETWEET,2089215969642332637
809153154231238657,1246970002823172096,Directed,1,MENTION,2089215969298092335
809153154231238657,1246970002823172096,Directed,1,RETWEET,2089215969298092335
1468594331812769792,9451052,Directed,1,MENTION,2089215969264619536
1468594331812769792,9451052,Directed,1,RETWEET,2089215969264619536
1871452698593361923,264119038,Directed,1,MENTION,2089215969168425271
1871452698593361923,264119038,Directed,1,RETWEET,2089215969168425271
1072272064176885760,988949341028024320,Directed,1,MENTION,2089215969000301052
1072272064176885760,988949341028024320,Directed,1,RETWEET,2089215969000301052
360184824,14780915,Directed,1,MENTION,2089215968782254334
360184824,14780915,Directed,1,RETWEET,2089215968782254334
163625375,1320483313518321664,Directed,1,MENTION,2089215968463483253
163625375,1320483313518321664,Directed,1,RETWEET,2089215968463483253
164410319,1486473049146904576,Directed,1,MENTION,2089215967746499020
164410319,1486473049146904576,Directed,1,RETWEET,2089215967746499020
1697051037922930688,1316655254306394112,Directed,1,MENTION,2089215967712960623
1697051037922930688,1316655254306394112,Directed,1,RETWEET,2089215967712960623
1464043285941567490,1320483313518321664,Directed,1,MENTION,2089215967553278134
1464043285941567490,1320483313518321664,Directed,1,RETWEET,2089215967553278134
379141685,16331010,Directed,1,MENTION,2089215967243215211
379141685,16331010,Directed,1,RETWEET,2089215967243215211
1267857595647307776,264119038,Directed,1,MENTION,2089215966718685286
1267857595647307776,264119038,Directed,1,RETWEET,2089215966718685286
1068979713677426689,38469386,Directed,1,MENTION,2089215966274093183
1068979713677426689,38469386,Directed,1,RETWEET,2089215966274093183
1330132485477445633,1334293381938343937,Directed,1,MENTION,2089215966097924374
1330132485477445633,1334293381938343937,Directed,1,RETWEET,2089215966097924374
1140360857735565313,1550347852026724354,Directed,1,QUOTE,2089215965124813196
