Source,Target,Type,Weight,Interaction,post_id
1954220081061191681,1908908594621300736,Directed,1,MENTION,2085858995995099213
1954220081061191681,1908908594621300736,Directed,1,RETWEET,2085858995995099213
1450681163974991883,1908908594621300736,Directed,1,MENTION,2085858845428208118
1450681163974991883,1908908594621300736,Directed,1,RETWEET,2085858845428208118
1051488486468018178,16331010,Directed,1,MENTION,2085858476736065928
1051488486468018178,16331010,Directed,1,RETWEET,2085858476736065928
1259791085796130816,16331010,Directed,1,MENTION,2085858459577471025
1259791085796130816,16331010,Directed,1,RETWEET,2085858459577471025
2059056914332258304,16331010,Directed,1,MENTION,2085857453543952637
2059056914332258304,16331010,Directed,1,RETWEET,2085857453543952637
290545806,16331010,Directed,1,MENTION,2085856941645898200
290545806,16331010,Directed,1,RETWEET,2085856941645898200
1484051188995670016,16331010,Directed,1,MENTION,2085856928563925018
1484051188995670016,16331010,Directed,1,RETWEET,2085856928563925018
1489455324092375041,16331010,Directed,1,MENTION,2085856678499528807
1489455324092375041,16331010,Directed,1,RETWEET,2085856678499528807
2067022199089713152,1489847379264040961,Directed,1,MENTION,2085856147290890695
2067022199089713152,277263973,Directed,1,MENTION,2085856147290890695
2067022199089713152,1489847379264040961,Directed,1,REPLY,2085856147290890695
2067022199089713152,2025212737677082624,Directed,1,MENTION,2085855919674417339
2067022199089713152,2025212737677082624,Directed,1,REPLY,2085855919674417339
2067022199089713152,825244565447782404,Directed,1,MENTION,2085855835545010303
2067022199089713152,825244565447782404,Directed,1,REPLY,2085855835545010303
28873880,16331010,Directed,1,MENTION,2085855524436738314
28873880,16331010,Directed,1,RETWEET,2085855524436738314
1206412202053386241,16331010,Directed,1,MENTION,2085855455608217716
1206412202053386241,16331010,Directed,1,RETWEET,2085855455608217716
2085805696935755776,1625328393246875652,Directed,1,MENTION,2085855078447997183
2085805696935755776,16331010,Directed,5,MENTION,2085855078447997183
2085805696935755776,1625328393246875652,Directed,1,RETWEET,2085855078447997183
2085805696935755776,1779508119304900608,Directed,1,MENTION,2085854592387162339
2085805696935755776,20592045,Directed,1,MENTION,2085854592387162339
2085805696935755776,1779508119304900608,Directed,1,RETWEET,2085854592387162339
2072064820472414208,16331010,Directed,1,MENTION,2085854579720077683
2072064820472414208,16331010,Directed,1,RETWEET,2085854579720077683
1422419304855719937,16331010,Directed,1,MENTION,2085854427374903434
1422419304855719937,16331010,Directed,1,RETWEET,2085854427374903434
1938321694646812673,16331010,Directed,1,MENTION,2085853600396493108
1938321694646812673,16331010,Directed,1,RETWEET,2085853600396493108
2085805696935755776,2022513621612294144,Directed,1,MENTION,2085853469613961467
2085805696935755776,2022513621612294144,Directed,1,RETWEET,2085853469613961467
2256823016,16331010,Directed,1,QUOTE,2085853379843019107
2067022199089713152,1889475731643654144,Directed,1,MENTION,2085853318190973357
2067022199089713152,1889475731643654144,Directed,1,REPLY,2085853318190973357
1922913225580085248,16331010,Directed,1,MENTION,2085853144454733854
1922913225580085248,16331010,Directed,1,REPLY,2085853144454733854
1475180465845944323,277263973,Directed,1,MENTION,2085852532354728250
1787843534525005824,16331010,Directed,1,MENTION,2085852288149598554
1787843534525005824,16331010,Directed,1,RETWEET,2085852288149598554
914510577656938496,16331010,Directed,1,MENTION,2085851180568375698
914510577656938496,16331010,Directed,1,RETWEET,2085851180568375698
1943344084115984395,16331010,Directed,1,MENTION,2085850187809931411
1943344084115984395,16331010,Directed,1,RETWEET,2085850187809931411
1970242717356531712,16331010,Directed,1,MENTION,2085849528465227982
1970242717356531712,16331010,Directed,1,RETWEET,2085849528465227982
1662200833373609986,16331010,Directed,1,MENTION,2085849244888416758
1662200833373609986,16331010,Directed,1,RETWEET,2085849244888416758
1065510791569276930,16331010,Directed,1,MENTION,2085847326825062795
2022513621612294144,16331010,Directed,1,MENTION,2085846474999418884
2022513621612294144,16331010,Directed,1,REPLY,2085846474999418884
1920197004128378880,16331010,Directed,1,MENTION,2085846458805461067
1920197004128378880,16331010,Directed,1,REPLY,2085846458805461067
240675279,16331010,Directed,1,QUOTE,2085846083276767236
1779680460764782592,16331010,Directed,1,MENTION,2085845805408076033
1779680460764782592,16331010,Directed,1,RETWEET,2085845805408076033
1566298056,16331010,Directed,1,QUOTE,2085844559242600909
1438397371939917826,16331010,Directed,1,MENTION,2085844184649621590
1438397371939917826,16331010,Directed,1,RETWEET,2085844184649621590
61801957,16331010,Directed,1,MENTION,2085843311005487585
61801957,16331010,Directed,1,REPLY,2085843311005487585
1787216586014707712,16331010,Directed,1,MENTION,2085842690130776315
1787216586014707712,16331010,Directed,1,RETWEET,2085842690130776315
1286812675847196673,1908908594621300736,Directed,1,MENTION,2085842246302142757
1286812675847196673,1908908594621300736,Directed,1,RETWEET,2085842246302142757
1797307957182431232,16331010,Directed,1,MENTION,2085842057545826377
1797307957182431232,16331010,Directed,1,RETWEET,2085842057545826377
1695490021954895872,16331010,Directed,1,MENTION,2085841917963583666
1695490021954895872,16331010,Directed,1,RETWEET,2085841917963583666
