Source,Target,Type,Weight,Interaction,post_id
2411661290,1764348753870209025,Directed,1,MENTION,2071881156862067095
2411661290,1764348753870209025,Directed,1,RETWEET,2071881156862067095
2070809429520318464,1069801654768332800,Directed,1,MENTION,2071881126939918675
2070809429520318464,1069801654768332800,Directed,1,RETWEET,2071881126939918675
912942541011533824,1725517025873719296,Directed,1,MENTION,2071881092215566787
912942541011533824,1725517025873719296,Directed,1,RETWEET,2071881092215566787
2069319829287288833,1988128075775950848,Directed,1,MENTION,2071881073634521168
2069319829287288833,1988128075775950848,Directed,1,RETWEET,2071881073634521168
1208763210368720897,1725517025873719296,Directed,1,MENTION,2071881039505457315
1208763210368720897,1725517025873719296,Directed,1,RETWEET,2071881039505457315
2018853320291692545,1579049013273206785,Directed,1,MENTION,2071880988695949371
2018853320291692545,1579049013273206785,Directed,1,RETWEET,2071880988695949371
2032181707550703618,1974516002307084288,Directed,1,MENTION,2071880956617572584
2032181707550703618,1974516002307084288,Directed,1,RETWEET,2071880956617572584
1138904526835134464,1987664011924832256,Directed,1,MENTION,2071880915060457576
1138904526835134464,1987664011924832256,Directed,1,RETWEET,2071880915060457576
914630969872846848,2037608080486088704,Directed,1,MENTION,2071880902641057983
914630969872846848,2037608080486088704,Directed,1,RETWEET,2071880902641057983
1801922075709370368,1115375443450818561,Directed,1,MENTION,2071880886140755985
1801922075709370368,1115375443450818561,Directed,1,RETWEET,2071880886140755985
1649282785503264770,1725517025873719296,Directed,1,MENTION,2071880878427415008
1649282785503264770,1725517025873719296,Directed,1,RETWEET,2071880878427415008
914630969872846848,1662123599870980096,Directed,1,MENTION,2071880863554380151
914630969872846848,1662123599870980096,Directed,1,RETWEET,2071880863554380151
1775081423692611584,974044030530076673,Directed,1,MENTION,2071880825881202889
1775081423692611584,974044030530076673,Directed,1,RETWEET,2071880825881202889
1823068799211556864,1725517025873719296,Directed,1,MENTION,2071880784919884178
1823068799211556864,1725517025873719296,Directed,1,RETWEET,2071880784919884178
1775081423692611584,766796253430624257,Directed,1,MENTION,2071880783548055895
1775081423692611584,1451618094573670401,Directed,1,MENTION,2071880783548055895
1775081423692611584,766796253430624257,Directed,1,RETWEET,2071880783548055895
1064074614849105921,1036957264861585408,Directed,1,MENTION,2071880743001919500
1064074614849105921,1036957264861585408,Directed,1,RETWEET,2071880743001919500
1636137934482022403,2058625132600672256,Directed,1,MENTION,2071880736940998770
1636137934482022403,2058625132600672256,Directed,1,RETWEET,2071880736940998770
1386388305378385921,1036957264861585408,Directed,1,MENTION,2071880704380809300
1386388305378385921,1036957264861585408,Directed,1,RETWEET,2071880704380809300
710251947803148288,2037608080486088704,Directed,1,MENTION,2071880675385364728
710251947803148288,2037608080486088704,Directed,1,RETWEET,2071880675385364728
1883742846827839488,2037608080486088704,Directed,1,MENTION,2071880674852917416
1883742846827839488,2037608080486088704,Directed,1,RETWEET,2071880674852917416
1984766441145712647,974044030530076673,Directed,1,MENTION,2071880652438339997
1984766441145712647,974044030530076673,Directed,1,RETWEET,2071880652438339997
883078172048330752,1160742469241151488,Directed,1,MENTION,2071880567537156326
883078172048330752,1160742469241151488,Directed,1,RETWEET,2071880567537156326
1338141425305792517,1866414864861687808,Directed,1,MENTION,2071880546758635953
1338141425305792517,1944132048240758784,Directed,1,MENTION,2071880546758635953
1338141425305792517,1866414864861687808,Directed,1,REPLY,2071880546758635953
1092590450110881794,1725517025873719296,Directed,1,MENTION,2071880515758748011
1092590450110881794,1725517025873719296,Directed,1,RETWEET,2071880515758748011
2038897053795848192,2028854285317115905,Directed,1,MENTION,2071880485811184106
2038897053795848192,2028854285317115905,Directed,1,RETWEET,2071880485811184106
1887059699331457024,1988128075775950848,Directed,1,MENTION,2071880474285277452
1887059699331457024,1988128075775950848,Directed,1,RETWEET,2071880474285277452
1156569801474658305,1431734662108520455,Directed,1,MENTION,2071880447001583730
1156569801474658305,1431734662108520455,Directed,1,RETWEET,2071880447001583730
1251425901151166465,2015713136171520000,Directed,1,MENTION,2071880442467229970
1251425901151166465,2015713136171520000,Directed,1,RETWEET,2071880442467229970
2020826521829875713,1725517025873719296,Directed,1,MENTION,2071880396258902501
2020826521829875713,1725517025873719296,Directed,1,RETWEET,2071880396258902501
898264811959660544,1965580316338221056,Directed,1,MENTION,2071880325517504783
898264811959660544,1321665443824836608,Directed,1,MENTION,2071880325517504783
898264811959660544,1965580316338221056,Directed,1,REPLY,2071880325517504783
1602336316972212224,1440831753648676871,Directed,1,MENTION,2071880294114673090
1602336316972212224,1440831753648676871,Directed,1,RETWEET,2071880294114673090
2027874697971699712,1751812852938076160,Directed,1,MENTION,2071880284304208205
2027874697971699712,1751812852938076160,Directed,1,RETWEET,2071880284304208205
1722575408070270976,1985387903170822146,Directed,1,MENTION,2071880279699132610
1722575408070270976,1985387903170822146,Directed,1,RETWEET,2071880279699132610
2022977749087113216,1538378493221797888,Directed,1,MENTION,2071880247151050827
2022977749087113216,1538378493221797888,Directed,1,RETWEET,2071880247151050827
1777912167674552320,2015713136171520000,Directed,1,MENTION,2071880244693176796
1777912167674552320,2015713136171520000,Directed,1,RETWEET,2071880244693176796
2070809429520318464,748329166974554112,Directed,1,MENTION,2071880241765589126
2070809429520318464,748329166974554112,Directed,1,RETWEET,2071880241765589126
1532377975647219713,1988128075775950848,Directed,1,MENTION,2071880238032732581
1532377975647219713,1988128075775950848,Directed,1,RETWEET,2071880238032732581
1645076661162094592,2037608080486088704,Directed,1,MENTION,2071880199420219882
1645076661162094592,2037608080486088704,Directed,1,RETWEET,2071880199420219882
894750545440677892,1725517025873719296,Directed,1,MENTION,2071880195804414151
894750545440677892,1725517025873719296,Directed,1,RETWEET,2071880195804414151
1741601065991327744,2037608080486088704,Directed,1,MENTION,2071880186136805765
1741601065991327744,2037608080486088704,Directed,1,RETWEET,2071880186136805765
1382063762958471168,1441186622582652929,Directed,1,MENTION,2071880151097593998
1382063762958471168,1441186622582652929,Directed,1,RETWEET,2071880151097593998
1456727792842731520,1608216562325921794,Directed,1,MENTION,2071880144738754732
1456727792842731520,1142819552658636801,Directed,1,MENTION,2071880144738754732
