Source,Target,Type,Weight,Interaction,post_id
1912208614095482882,2024547516499578887,Directed,1,MENTION,2073567193921368099
1912208614095482882,1661876658314309632,Directed,1,MENTION,2073567193921368099
1912208614095482882,1619992211071897600,Directed,1,MENTION,2073567193921368099
1912208614095482882,1146058067244486656,Directed,1,MENTION,2073567193921368099
1912208614095482882,2024547516499578887,Directed,1,REPLY,2073567193921368099
2024547516499578887,1661876658314309632,Directed,3,MENTION,2073565369411764303
2024547516499578887,1661876658314309632,Directed,3,REPLY,2073565369411764303
2024547516499578887,1619992211071897600,Directed,2,MENTION,2073565241397457160
2024547516499578887,1146058067244486656,Directed,2,MENTION,2073565241397457160
1661876658314309632,2024547516499578887,Directed,1,QUOTE,2073563490661310888
1661876658314309632,2024547516499578887,Directed,2,MENTION,2073561503664402714
1661876658314309632,1619992211071897600,Directed,112,MENTION,2073561503664402714
1661876658314309632,1146058067244486656,Directed,21,MENTION,2073561503664402714
1661876658314309632,2024547516499578887,Directed,1,REPLY,2073561503664402714
1661876658314309632,1146058067244486656,Directed,1,RETWEET,2073543550667489534
1661876658314309632,22637974,Directed,5,MENTION,2072506530562293820
1661876658314309632,22637974,Directed,5,RETWEET,2072506530562293820
1661876658314309632,7563792,Directed,3,MENTION,2072485467145031706
1661876658314309632,7563792,Directed,3,RETWEET,2072485467145031706
1661876658314309632,16877611,Directed,1,MENTION,2071739147279057298
1661876658314309632,16877611,Directed,1,RETWEET,2071739147279057298
1661876658314309632,761257471952379904,Directed,5,MENTION,2070983628859875809
1661876658314309632,761257471952379904,Directed,5,RETWEET,2070983628859875809
1661876658314309632,28061932,Directed,1,MENTION,2070391200511607024
1661876658314309632,28061932,Directed,1,RETWEET,2070391200511607024
1661876658314309632,27801361,Directed,3,MENTION,2068136310091469201
1661876658314309632,372817561,Directed,2,MENTION,2068136310091469201
1661876658314309632,1174161571875999744,Directed,7,MENTION,2068136310091469201
1661876658314309632,27801361,Directed,3,REPLY,2068136310091469201
1661876658314309632,107146095,Directed,2,MENTION,2068058114851545330
1661876658314309632,107146095,Directed,2,RETWEET,2068058114851545330
1325291311524614144,1838597250387447810,Directed,1,MENTION,2068029572822585849
1325291311524614144,1661876658314309632,Directed,1,MENTION,2068029572822585849
1325291311524614144,1146058067244486656,Directed,1,MENTION,2068029572822585849
1661876658314309632,1838597250387447810,Directed,23,MENTION,2067435739285983671
1661876658314309632,1779764940733100032,Directed,1,MENTION,2067067177664954766
1661876658314309632,1945909527678746624,Directed,1,MENTION,2067067177664954766
1661876658314309632,1779764940733100032,Directed,1,REPLY,2067067177664954766
1661876658314309632,1225250605653991424,Directed,1,MENTION,2066359583493218549
1661876658314309632,1225250605653991424,Directed,1,RETWEET,2066359583493218549
1661876658314309632,22665816,Directed,1,MENTION,2066353745277931559
1661876658314309632,22665816,Directed,1,RETWEET,2066353745277931559
1661876658314309632,783773838479720448,Directed,1,MENTION,2065929494427271664
1661876658314309632,2019134219918667779,Directed,2,MENTION,2065929494427271664
1661876658314309632,783773838479720448,Directed,1,RETWEET,2065929494427271664
1661876658314309632,1508980862246957057,Directed,35,MENTION,2065924708164366704
2019444245258489856,1661876658314309632,Directed,3,MENTION,2064691291355845032
2019444245258489856,1587845408700727299,Directed,2,MENTION,2064691291355845032
2019444245258489856,1405727152914509824,Directed,2,MENTION,2064691291355845032
2019444245258489856,1146058067244486656,Directed,2,MENTION,2064691291355845032
2019444245258489856,1661876658314309632,Directed,1,REPLY,2064691291355845032
1706475404238729216,1661876658314309632,Directed,28,MENTION,2064589743673753658
1706475404238729216,2896363633,Directed,4,MENTION,2064589743673753658
1706475404238729216,1405727152914509824,Directed,1,MENTION,2064589743673753658
1706475404238729216,1146058067244486656,Directed,2,MENTION,2064589743673753658
1706475404238729216,1661876658314309632,Directed,13,REPLY,2064589743673753658
1661876658314309632,2019444245258489856,Directed,1,MENTION,2064556514287751216
1661876658314309632,1587845408700727299,Directed,28,MENTION,2064556514287751216
1661876658314309632,1405727152914509824,Directed,14,MENTION,2064556514287751216
1661876658314309632,2019444245258489856,Directed,1,REPLY,2064556514287751216
1587845408700727299,2019444245258489856,Directed,1,MENTION,2064551826041557462
1587845408700727299,1405727152914509824,Directed,2,MENTION,2064551826041557462
1587845408700727299,1661876658314309632,Directed,43,MENTION,2064551826041557462
1587845408700727299,1146058067244486656,Directed,2,MENTION,2064551826041557462
1587845408700727299,2019444245258489856,Directed,1,REPLY,2064551826041557462
2019444245258489856,1587845408700727299,Directed,1,REPLY,2064551157599703405
1661876658314309632,1405727152914509824,Directed,6,REPLY,2064548834944978949
1405727152914509824,1661876658314309632,Directed,3,MENTION,2064548067706036697
1405727152914509824,1146058067244486656,Directed,2,MENTION,2064548067706036697
1405727152914509824,1661876658314309632,Directed,1,REPLY,2064548067706036697
1405727152914509824,1587845408700727299,Directed,1,MENTION,2064547682278859205
1405727152914509824,1587845408700727299,Directed,1,REPLY,2064547682278859205
1661876658314309632,1405727152914509824,Directed,3,RETWEET,2064546355016601668
1661876658314309632,1706475404238729216,Directed,11,MENTION,2063153237029429339
1661876658314309632,1706475404238729216,Directed,15,REPLY,2063153237029429339
1661876658314309632,1501278076126126081,Directed,2,MENTION,2063117057986547915
1661876658314309632,1501278076126126081,Directed,2,REPLY,2063117057986547915
