Source,Target,Type,Weight,Interaction,post_id
1428935308708560896,2011674871189946372,Directed,1,MENTION,2087739251790094570
1428935308708560896,2011674871189946372,Directed,1,REPLY,2087739251790094570
2033996731822837771,2011674871189946372,Directed,26,MENTION,2087724024340299836
2033996731822837771,2011674871189946372,Directed,3,REPLY,2087722947800973369
2033996731822837771,1999639221565554691,Directed,3,MENTION,2087712105164321084
2033996731822837771,1990640527998660612,Directed,16,MENTION,2087712105164321084
2033996731822837771,1167910481945858048,Directed,21,MENTION,2087712105164321084
2033996731822837771,1817404157004754945,Directed,18,MENTION,2087712105164321084
2033996731822837771,741350311365726208,Directed,18,MENTION,2087712105164321084
2033996731822837771,1507003817434521601,Directed,21,MENTION,2087712105164321084
2033996731822837771,1519516156133920769,Directed,19,MENTION,2087712105164321084
2033996731822837771,2018879913131171841,Directed,15,MENTION,2087712105164321084
2033996731822837771,1293987879966965765,Directed,15,MENTION,2087712105164321084
2033996731822837771,1976309528653377536,Directed,15,MENTION,2087712105164321084
2033996731822837771,1992461810013020163,Directed,18,MENTION,2087712105164321084
2033996731822837771,1999639221565554691,Directed,2,REPLY,2087712105164321084
1999639221565554691,2033996731822837771,Directed,2,MENTION,2087709200139116806
1999639221565554691,1990640527998660612,Directed,2,MENTION,2087709200139116806
1999639221565554691,1167910481945858048,Directed,2,MENTION,2087709200139116806
1999639221565554691,1817404157004754945,Directed,2,MENTION,2087709200139116806
1999639221565554691,741350311365726208,Directed,2,MENTION,2087709200139116806
1999639221565554691,1507003817434521601,Directed,2,MENTION,2087709200139116806
1999639221565554691,1519516156133920769,Directed,2,MENTION,2087709200139116806
1999639221565554691,2011674871189946372,Directed,2,MENTION,2087709200139116806
1999639221565554691,2018879913131171841,Directed,2,MENTION,2087709200139116806
1999639221565554691,1293987879966965765,Directed,2,MENTION,2087709200139116806
1999639221565554691,1976309528653377536,Directed,2,MENTION,2087709200139116806
1999639221565554691,1992461810013020163,Directed,2,MENTION,2087709200139116806
1999639221565554691,2033996731822837771,Directed,1,REPLY,2087708041911402739
1983395377111040000,2011674871189946372,Directed,1,MENTION,2087703103286202770
1983395377111040000,1614200889522241542,Directed,1,MENTION,2087703103286202770
1983395377111040000,1519516156133920769,Directed,1,MENTION,2087703103286202770
1983395377111040000,2033996731822837771,Directed,1,MENTION,2087703103286202770
1983395377111040000,829497835183828992,Directed,1,MENTION,2087703103286202770
1983395377111040000,2011674871189946372,Directed,1,REPLY,2087703103286202770
2011674871189946372,2033996731822837771,Directed,7,MENTION,2087702891914051645
2011674871189946372,1999639221565554691,Directed,2,MENTION,2087702891914051645
2011674871189946372,1614200889522241542,Directed,3,MENTION,2087702891914051645
2011674871189946372,1519516156133920769,Directed,10,MENTION,2087702891914051645
2011674871189946372,829497835183828992,Directed,5,MENTION,2087702891914051645
2011674871189946372,2033996731822837771,Directed,5,REPLY,2087702891914051645
2033996731822837771,1614200889522241542,Directed,4,MENTION,2087698022927061228
2033996731822837771,829497835183828992,Directed,1,MENTION,2087698022927061228
2011674871189946372,2033996731822837771,Directed,1,RETWEET,2087685146765902024
2011674871189946372,2033996731822837771,Directed,1,QUOTE,2087678667354685910
2011674871189946372,1167910481945858048,Directed,6,MENTION,2087678332221411750
2011674871189946372,1167910481945858048,Directed,1,REPLY,2087670129094004841
1242998439195148290,14337584,Directed,2,MENTION,2087654233319350373
1242998439195148290,1518906576152805377,Directed,2,MENTION,2087654233319350373
1242998439195148290,1814320148976955392,Directed,2,MENTION,2087654233319350373
1242998439195148290,1519516156133920769,Directed,2,MENTION,2087654233319350373
1242998439195148290,2011674871189946372,Directed,2,MENTION,2087654233319350373
1242998439195148290,2077622330159927296,Directed,2,MENTION,2087654233319350373
1242998439195148290,981280634709598208,Directed,2,MENTION,2087654233319350373
1242998439195148290,14337584,Directed,1,REPLY,2087654233319350373
14337584,1242998439195148290,Directed,1,MENTION,2087627109468397651
14337584,1518906576152805377,Directed,4,MENTION,2087627109468397651
14337584,1814320148976955392,Directed,3,MENTION,2087627109468397651
14337584,1519516156133920769,Directed,5,MENTION,2087627109468397651
14337584,2011674871189946372,Directed,3,MENTION,2087627109468397651
14337584,2077622330159927296,Directed,3,MENTION,2087627109468397651
14337584,981280634709598208,Directed,3,MENTION,2087627109468397651
14337584,1242998439195148290,Directed,1,REPLY,2087627109468397651
1518906576152805377,14337584,Directed,3,MENTION,2087627056188162516
1518906576152805377,1814320148976955392,Directed,3,MENTION,2087627056188162516
1518906576152805377,1519516156133920769,Directed,3,MENTION,2087627056188162516
1518906576152805377,2011674871189946372,Directed,3,MENTION,2087627056188162516
1518906576152805377,2077622330159927296,Directed,3,MENTION,2087627056188162516
1518906576152805377,981280634709598208,Directed,3,MENTION,2087627056188162516
1518906576152805377,14337584,Directed,2,REPLY,2087627056188162516
14337584,1518906576152805377,Directed,2,REPLY,2087626511163555863
1242998439195148290,1518906576152805377,Directed,1,REPLY,2087521523598782888
1994177275361939457,1518906576152805377,Directed,1,MENTION,2087495419550990740
1994177275361939457,1814320148976955392,Directed,1,MENTION,2087495419550990740
1994177275361939457,1519516156133920769,Directed,1,MENTION,2087495419550990740
1994177275361939457,2011674871189946372,Directed,1,MENTION,2087495419550990740
1994177275361939457,14337584,Directed,1,MENTION,2087495419550990740
1994177275361939457,2077622330159927296,Directed,1,MENTION,2087495419550990740
1994177275361939457,981280634709598208,Directed,1,MENTION,2087495419550990740
1994177275361939457,1518906576152805377,Directed,1,REPLY,2087495419550990740
1519516156133920769,1518906576152805377,Directed,1,MENTION,2087430909276614721
1519516156133920769,1814320148976955392,Directed,1,MENTION,2087430909276614721
1519516156133920769,2011674871189946372,Directed,1,MENTION,2087430909276614721
1519516156133920769,14337584,Directed,1,MENTION,2087430909276614721
1519516156133920769,2077622330159927296,Directed,1,MENTION,2087430909276614721
1519516156133920769,981280634709598208,Directed,1,MENTION,2087430909276614721
1519516156133920769,1518906576152805377,Directed,1,REPLY,2087430909276614721
2011674871189946372,1513410916473192450,Directed,1,MENTION,2087418537455317083
2011674871189946372,1513410916473192450,Directed,1,RETWEET,2087418537455317083
2011674871189946372,1518906576152805377,Directed,1,QUOTE,2087349923234693314
2011674871189946372,1518906576152805377,Directed,2,MENTION,2087349900446949410
2011674871189946372,1518906576152805377,Directed,1,RETWEET,2087349900446949410
2011674871189946372,133938408,Directed,1,QUOTE,2087349729512280136
2011674871189946372,133938408,Directed,1,MENTION,2087348756861620289
2011674871189946372,133938408,Directed,1,RETWEET,2087348756861620289
2011674871189946372,2015492655619223552,Directed,1,MENTION,2087347633849303389
2011674871189946372,2015492655619223552,Directed,1,RETWEET,2087347633849303389
1957658737679704067,1518906576152805377,Directed,1,MENTION,2087344637488861295
1957658737679704067,1814320148976955392,Directed,1,MENTION,2087344637488861295
1957658737679704067,1519516156133920769,Directed,1,MENTION,2087344637488861295
1957658737679704067,2011674871189946372,Directed,1,MENTION,2087344637488861295
1957658737679704067,14337584,Directed,1,MENTION,2087344637488861295
1957658737679704067,2077622330159927296,Directed,1,MENTION,2087344637488861295
1957658737679704067,981280634709598208,Directed,1,MENTION,2087344637488861295
1957658737679704067,1518906576152805377,Directed,1,REPLY,2087344637488861295
2011674871189946372,1814320148976955392,Directed,2,MENTION,2087344185280020896
2011674871189946372,14337584,Directed,1,MENTION,2087344185280020896
2011674871189946372,2077622330159927296,Directed,1,MENTION,2087344185280020896
2011674871189946372,981280634709598208,Directed,1,MENTION,2087344185280020896
2011674871189946372,1518906576152805377,Directed,1,REPLY,2087344185280020896
2011674871189946372,634975754,Directed,1,MENTION,2087339268637135184
2011674871189946372,1814320148976955392,Directed,1,REPLY,2087332861682626611
2011674871189946372,1814320148976955392,Directed,1,QUOTE,2087332271825047633
2011674871189946372,295764831,Directed,1,MENTION,2087331594419810789
2011674871189946372,295764831,Directed,1,RETWEET,2087331594419810789
2011674871189946372,1923980043509956610,Directed,1,MENTION,2087330157904220264
2011674871189946372,1682079765422047235,Directed,1,MENTION,2087330157904220264
2011674871189946372,1616372052386086913,Directed,2,MENTION,2087330157904220264
2011674871189946372,1923980043509956610,Directed,1,REPLY,2087330157904220264
2011674871189946372,10228272,Directed,8,MENTION,2087328821842219155
1348641467674353665,2011674871189946372,Directed,1,MENTION,2087294436514332871
1348641467674353665,1519516156133920769,Directed,1,MENTION,2087294436514332871
1348641467674353665,2011674871189946372,Directed,1,REPLY,2087294436514332871
2011674871189946372,1459830217804029955,Directed,1,MENTION,2087201987389440407
2011674871189946372,1459830217804029955,Directed,1,REPLY,2087201987389440407
2011674871189946372,932729434540474370,Directed,1,MENTION,2087169244588839213
2011674871189946372,932729434540474370,Directed,1,RETWEET,2087169244588839213
2011674871189946372,3146153982,Directed,2,MENTION,2087023147090403427
2011674871189946372,3146153982,Directed,2,RETWEET,2087023147090403427
2011674871189946372,1961736752,Directed,2,MENTION,2087000574919102617
2011674871189946372,1961736752,Directed,1,RETWEET,2087000574919102617
2013424457180692480,2033996731822837771,Directed,2,MENTION,2086980553551618457
2013424457180692480,1990640527998660612,Directed,2,MENTION,2086980553551618457
2013424457180692480,1167910481945858048,Directed,2,MENTION,2086980553551618457
2013424457180692480,1817404157004754945,Directed,2,MENTION,2086980553551618457
2013424457180692480,741350311365726208,Directed,2,MENTION,2086980553551618457
2013424457180692480,1507003817434521601,Directed,2,MENTION,2086980553551618457
2013424457180692480,1519516156133920769,Directed,2,MENTION,2086980553551618457
2013424457180692480,2011674871189946372,Directed,2,MENTION,2086980553551618457
2013424457180692480,2018879913131171841,Directed,2,MENTION,2086980553551618457
2013424457180692480,1293987879966965765,Directed,2,MENTION,2086980553551618457
2013424457180692480,1976309528653377536,Directed,2,MENTION,2086980553551618457
2013424457180692480,1992461810013020163,Directed,2,MENTION,2086980553551618457
2013424457180692480,2033996731822837771,Directed,2,REPLY,2086980553551618457
2033996731822837771,2013424457180692480,Directed,3,MENTION,2086977877120299442
2033996731822837771,2013424457180692480,Directed,2,REPLY,2086977341734236311
1807142015567863808,2033996731822837771,Directed,1,MENTION,2086975137312616506
1807142015567863808,1990640527998660612,Directed,1,MENTION,2086975137312616506
1807142015567863808,1167910481945858048,Directed,1,MENTION,2086975137312616506
1807142015567863808,1817404157004754945,Directed,1,MENTION,2086975137312616506
1807142015567863808,741350311365726208,Directed,1,MENTION,2086975137312616506
1807142015567863808,1507003817434521601,Directed,1,MENTION,2086975137312616506
1807142015567863808,1519516156133920769,Directed,1,MENTION,2086975137312616506
1807142015567863808,2011674871189946372,Directed,1,MENTION,2086975137312616506
1807142015567863808,2018879913131171841,Directed,1,MENTION,2086975137312616506
1807142015567863808,1293987879966965765,Directed,1,MENTION,2086975137312616506
1807142015567863808,1976309528653377536,Directed,1,MENTION,2086975137312616506
1807142015567863808,1992461810013020163,Directed,1,MENTION,2086975137312616506
1807142015567863808,2033996731822837771,Directed,1,REPLY,2086975137312616506
2011674871189946372,1351703231156596737,Directed,1,MENTION,2086968191654228105
2011674871189946372,1351703231156596737,Directed,1,RETWEET,2086968191654228105
2033996731822837771,1347713648567808002,Directed,2,QUOTE,2086959619302474151
2033996731822837771,1817404157004754945,Directed,2,QUOTE,2086955630666113100
2033996731822837771,1516825894479810564,Directed,1,QUOTE,2086953129111888105
2084846391122350080,2011674871189946372,Directed,1,MENTION,2086641823909601618
2084846391122350080,1974402996516823040,Directed,1,MENTION,2086641823909601618
2084846391122350080,2011674871189946372,Directed,1,REPLY,2086641823909601618
2011674871189946372,2084846391122350080,Directed,1,MENTION,2086641737674453503
2011674871189946372,1974402996516823040,Directed,1,MENTION,2086641737674453503
2011674871189946372,2084846391122350080,Directed,1,REPLY,2086641737674453503
2011674871189946372,1548811509840728065,Directed,1,MENTION,2086570734856348023
2011674871189946372,1548811509840728065,Directed,1,RETWEET,2086570734856348023
2011674871189946372,1616372052386086913,Directed,1,RETWEET,2086570635770147143
2011674871189946372,2256117529,Directed,1,MENTION,2086564450107044031
2011674871189946372,2256117529,Directed,1,RETWEET,2086564450107044031
2011674871189946372,1502722158346211331,Directed,2,MENTION,2086485422620733702
2011674871189946372,1502722158346211331,Directed,1,REPLY,2086485422620733702
2011674871189946372,1281356403194699776,Directed,1,MENTION,2086484287952396483
2011674871189946372,609527091,Directed,2,MENTION,2086484287952396483
2011674871189946372,1281356403194699776,Directed,1,REPLY,2086484287952396483
2011674871189946372,609527091,Directed,1,RETWEET,2086483726700032394
436851788,2011674871189946372,Directed,1,MENTION,2086216084936356183
436851788,2043693388625518593,Directed,1,MENTION,2086216084936356183
436851788,2011674871189946372,Directed,1,REPLY,2086216084936356183
2011674871189946372,57333521,Directed,2,MENTION,2086183148430180586
2011674871189946372,57333521,Directed,2,RETWEET,2086183148430180586
2011674871189946372,1519516156133920769,Directed,1,RETWEET,2086182655637295610
2011674871189946372,18939563,Directed,1,MENTION,2086182579670040978
2011674871189946372,18939563,Directed,1,RETWEET,2086182579670040978
2011674871189946372,17159397,Directed,1,MENTION,2086160398617633096
2011674871189946372,17159397,Directed,1,RETWEET,2086160398617633096
2011674871189946372,1208937434609786881,Directed,1,MENTION,2086160056270135318
2011674871189946372,1208937434609786881,Directed,1,RETWEET,2086160056270135318
2011674871189946372,2015134783517667328,Directed,1,MENTION,2086152738283438125
2011674871189946372,1519516156133920769,Directed,1,REPLY,2086152738283438125
2011674871189946372,2043693388625518593,Directed,1,MENTION,2086151463206572459
2011674871189946372,2043693388625518593,Directed,1,REPLY,2086151463206572459
2011674871189946372,1992108003273928704,Directed,1,MENTION,2086151025728065884
2011674871189946372,920309065158397952,Directed,1,MENTION,2085982852571615328
2011674871189946372,920309065158397952,Directed,1,RETWEET,2085982852571615328
2011674871189946372,2501224007,Directed,1,QUOTE,2085971863029592122
2011674871189946372,1964248155068731392,Directed,3,MENTION,2085971372337979582
2011674871189946372,1863430868330782720,Directed,3,MENTION,2085971372337979582
2011674871189946372,44196397,Directed,3,MENTION,2085971372337979582
2011674871189946372,1964248155068731392,Directed,3,REPLY,2085971372337979582
1964248155068731392,2011674871189946372,Directed,1,MENTION,2085968343169728650
1964248155068731392,1863430868330782720,Directed,1,MENTION,2085968343169728650
1964248155068731392,44196397,Directed,1,MENTION,2085968343169728650
1964248155068731392,2011674871189946372,Directed,1,REPLY,2085968343169728650
2011674871189946372,1705611812647895040,Directed,1,MENTION,2085891856018075988
2011674871189946372,1705611812647895040,Directed,1,RETWEET,2085891856018075988
2011674871189946372,2075748125294104576,Directed,1,MENTION,2085887715652898832
2011674871189946372,2075748125294104576,Directed,1,REPLY,2085887715652898832
2011674871189946372,476848835,Directed,1,MENTION,2085876257380532662
2011674871189946372,1863326742066180096,Directed,6,MENTION,2085876257380532662
2011674871189946372,491719838,Directed,1,MENTION,2085876257380532662
2011674871189946372,476848835,Directed,1,REPLY,2085876257380532662
2011674871189946372,1255848259400105991,Directed,3,MENTION,2085875069440360572
2011674871189946372,1255848259400105991,Directed,1,REPLY,2085875069440360572
1498355434297643012,1036439943768416257,Directed,1,MENTION,2085848810048176448
1498355434297643012,2011674871189946372,Directed,1,MENTION,2085848810048176448
1498355434297643012,1167910481945858048,Directed,1,MENTION,2085848810048176448
1498355434297643012,1863326742066180096,Directed,1,MENTION,2085848810048176448
1498355434297643012,1036439943768416257,Directed,1,REPLY,2085848810048176448
1036439943768416257,2011674871189946372,Directed,2,MENTION,2085759934617002453
1036439943768416257,1167910481945858048,Directed,2,MENTION,2085759934617002453
1036439943768416257,1863326742066180096,Directed,2,MENTION,2085759934617002453
1036439943768416257,2011674871189946372,Directed,2,REPLY,2085759934617002453
2011674871189946372,1036439943768416257,Directed,3,MENTION,2085758466119839810
2011674871189946372,1036439943768416257,Directed,3,REPLY,2085758466119839810
2011674871189946372,16635277,Directed,1,MENTION,2085756863140745520
2011674871189946372,16635277,Directed,1,RETWEET,2085756863140745520
2011674871189946372,1863326742066180096,Directed,2,REPLY,2085754721311052221
2033996731822837771,1959410619569913856,Directed,3,MENTION,2085569684838207811
2033996731822837771,345582896,Directed,3,MENTION,2085569684838207811
2011674871189946372,1836545576164597760,Directed,2,MENTION,2085560409788957104
2011674871189946372,1836545576164597760,Directed,2,REPLY,2085560409788957104
