Id,Label,0,1,2,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Weighted Degree_copy[z],splitter_z_value
1428935308708560896,4Goodnessakes,4Goodnessakes,Jimisfree,https://pbs.twimg.com/profile_images/2067026766149853184/z816tG9h_normal.jpg,0,2,2,0,2,2,2,0
2011674871189946372,Aquil2026,Aquil2026,Aquil2026,https://pbs.twimg.com/profile_images/2079332398865510400/LhTuIaes_normal.jpg,33,119,152,69,196,265,265,3
2033996731822837771,I_luv_Ice,I_luv_Ice,💣🕸🕷The_Governess🕷🕸💣,https://pbs.twimg.com/profile_images/2084862558171967488/IOlToDhx_normal.jpg,13,24,37,26,233,259,259,3
1999639221565554691,Wasteland_Nomad,Wasteland_Nomad,Wasteland_Nomad,https://pbs.twimg.com/profile_images/2067462581862965248/Hs44nZjn_normal.jpg,3,13,16,7,25,32,32,0
1519516156133920769,PamHemphill79,PamHemphill79,PamHemphill79,https://pbs.twimg.com/profile_images/1929221044587659264/GrZdpXHR_normal.jpg,15,7,22,51,7,58,58,1
1167910481945858048,DeleteXnow444,DeleteXnow444,DeleteXnow444,https://pbs.twimg.com/profile_images/1979815902423011328/95gCKBnr_normal.jpg,9,0,9,37,0,37,37,0
1817404157004754945,APMtnTop,APMtnTop,APMtnTop,https://pbs.twimg.com/profile_images/2030427327906058240/O7yWDlc8_normal.jpg,5,0,5,25,0,25,25,0
1990640527998660612,ScubaSteve026,ScubaSteve026,ScubaSteve026,https://pbs.twimg.com/profile_images/2075978423579951104/yDq--EJU_normal.jpg,4,0,4,21,0,21,21,0
741350311365726208,TManitowoc,TManitowoc,TManitowoc,https://pbs.twimg.com/profile_images/1702559681992876032/gj4ovGIS_normal.jpg,5,0,5,24,0,24,24,0
1507003817434521601,PlatinumRat1,PlatinumRat1,PlatinumRat1,https://pbs.twimg.com/profile_images/1705451343047966720/siLDUNER_normal.jpg,6,0,6,28,0,28,28,0
2018879913131171841,Mandy_Heart3159,Mandy_Heart3159,Mandy_Heart3159,https://pbs.twimg.com/profile_images/2080949464257396736/BoQN5cCT_normal.jpg,5,0,5,21,0,21,21,0
1293987879966965765,_DTorstenson,_DTorstenson,_DTorstenson,https://pbs.twimg.com/profile_images/1688558376966340609/4XuKZadH_normal.jpg,4,0,4,20,0,20,20,0
1976309528653377536,TeddyDuChamp82,TeddyDuChamp82,TeddyDuChamp82,https://pbs.twimg.com/profile_images/2049356047035588608/JUSR6PPS_normal.jpg,4,0,4,20,0,20,20,0
1992461810013020163,SubpoenaEnvy,SubpoenaEnvy,SubpoenaEnvy,https://pbs.twimg.com/profile_images/2040579247572647936/k28cxbP1_normal.jpg,5,0,5,24,0,24,24,0
1983395377111040000,ComeAroundHere,ComeAroundHere,Come Around Here,https://pbs.twimg.com/profile_images/2077001913711960064/XicTFa5E_normal.jpg,0,6,6,0,6,6,6,0
1614200889522241542,TwitzerlandNet,TwitzerlandNet,TwitzerlandNet,https://pbs.twimg.com/profile_images/2064929784262426624/GT6Wv_Zh_normal.jpg,3,0,3,8,0,8,8,0
829497835183828992,noellecook_com,noellecook_com,noellecook_com,https://pbs.twimg.com/profile_images/2020583039856943104/UQRYHJuk_normal.jpg,3,0,3,7,0,7,7,0
1242998439195148290,DrJoykovMD,DrJoykovMD,"Dr. Sigmund Joykov, MD PhD",https://pbs.twimg.com/profile_images/1242998755235958786/jbX3z3Fz_normal.jpg,2,9,11,2,16,18,18,0
14337584,NC_P8riot,NC_P8riot,NC_P8riot,https://pbs.twimg.com/profile_images/1994186133845020672/cOZnkm2C_normal.jpg,8,9,17,12,25,37,37,0
1518906576152805377,BoqPrecision,BoqPrecision,The Boq Precision Channel,https://pbs.twimg.com/profile_images/2083950428371267586/Srt0nuqV_normal.jpg,14,7,21,20,20,40,40,0
1814320148976955392,Tommy4Trump420,Tommy4Trump420,Tommyboi4209,https://pbs.twimg.com/profile_images/2023609642295955456/guDz9uAx_normal.jpg,11,1,12,17,1,18,18,0
2077622330159927296,ChainsawHug,ChainsawHug,ChainsawHug,https://pbs.twimg.com/profile_images/2081864315116924928/XngkL7W4_normal.jpg,7,0,7,12,0,12,12,0
981280634709598208,thejessie07,thejessie07,thejessie07,https://pbs.twimg.com/profile_images/2083927268020363264/hvKeRtvj_normal.jpg,7,0,7,12,0,12,12,0
1994177275361939457,PTownTroll82,PTownTroll82,Tooth Gapier,https://pbs.twimg.com/profile_images/2046347548324249601/il-LhmuI_normal.jpg,0,8,8,0,8,8,8,0
1513410916473192450,PamphletsY,PamphletsY,PamphletsY,https://pbs.twimg.com/profile_images/2062959073205579776/hwtZA7hw_normal.jpg,2,0,2,2,0,2,2,0
133938408,krassenstein,krassenstein,krassenstein,https://pbs.twimg.com/profile_images/2073928941111324672/vyD61hrx_normal.jpg,3,0,3,3,0,3,3,0
2015492655619223552,irlandarra2019,irlandarra2019,irlandarra2019,https://pbs.twimg.com/profile_images/2019691525404311552/h43Kk2k9_normal.jpg,2,0,2,2,0,2,2,0
1957658737679704067,freejamesfields,freejamesfields,James Fields is Innocent,https://pbs.twimg.com/profile_images/2004207272663154688/lAIsdNYp_normal.jpg,0,8,8,0,8,8,8,0
634975754,SnowdenBishop,SnowdenBishop,SnowdenBishop,https://pbs.twimg.com/profile_images/2083654856074784768/Wzs9f9ZG_normal.jpg,1,0,1,1,0,1,1,0
295764831,MostlyWNBA,MostlyWNBA,MostlyWNBA,https://pbs.twimg.com/profile_images/2049214597849321472/khu1XfhQ_normal.jpg,2,0,2,2,0,2,2,0
