Source,Target,Type,Weight,Interaction,post_id
1431884768619159553,1466346919429558275,Directed,1,MENTION,2087300966630539418
1431884768619159553,1430226136961781770,Directed,1,MENTION,2087300966630539418
1431884768619159553,1474091860025122817,Directed,1,MENTION,2087300966630539418
1431884768619159553,1466346919429558275,Directed,1,REPLY,2087300966630539418
1965893643589357568,2009713439275728896,Directed,1,MENTION,2087298570831458447
1965893643589357568,1466346919429558275,Directed,1,MENTION,2087298570831458447
1965893643589357568,18927441,Directed,1,MENTION,2087298570831458447
1965893643589357568,2009713439275728896,Directed,1,REPLY,2087298570831458447
1284243903558955009,1888260743298260992,Directed,1,MENTION,2087297312767033605
1284243903558955009,1466346919429558275,Directed,1,MENTION,2087297312767033605
1284243903558955009,1550978353049509894,Directed,1,MENTION,2087297312767033605
1284243903558955009,1474091860025122817,Directed,1,MENTION,2087297312767033605
1284243903558955009,1888260743298260992,Directed,1,REPLY,2087297312767033605
2006846246536052737,4624513160,Directed,7,MENTION,2087295428878598246
2006846246536052737,1466346919429558275,Directed,8,MENTION,2087295428878598246
2006846246536052737,3065618342,Directed,8,MENTION,2087295428878598246
2006846246536052737,61033129,Directed,8,MENTION,2087295428878598246
2006846246536052737,4624513160,Directed,1,REPLY,2087295428878598246
4624513160,2006846246536052737,Directed,2,MENTION,2087292952192397313
4624513160,1466346919429558275,Directed,2,MENTION,2087292952192397313
4624513160,3065618342,Directed,2,MENTION,2087292952192397313
4624513160,61033129,Directed,2,MENTION,2087292952192397313
4624513160,2006846246536052737,Directed,1,REPLY,2087292952192397313
2009713439275728896,1466346919429558275,Directed,2,MENTION,2087291885194711464
2009713439275728896,18927441,Directed,2,MENTION,2087291885194711464
2009713439275728896,1466346919429558275,Directed,2,REPLY,2087291885194711464
1888260743298260992,1466346919429558275,Directed,18,MENTION,2087291190701965773
1888260743298260992,1550978353049509894,Directed,16,MENTION,2087291190701965773
1888260743298260992,1474091860025122817,Directed,18,MENTION,2087291190701965773
1888260743298260992,1466346919429558275,Directed,4,REPLY,2087291190701965773
2006846246536052737,1466346919429558275,Directed,7,REPLY,2087290715927958008
1466346919429558275,2006846246536052737,Directed,8,MENTION,2087290687423451264
1466346919429558275,1869066217656614912,Directed,2,MENTION,2087290687423451264
1466346919429558275,3065618342,Directed,8,MENTION,2087290687423451264
1466346919429558275,61033129,Directed,8,MENTION,2087290687423451264
1466346919429558275,4624513160,Directed,6,MENTION,2087290687423451264
1466346919429558275,2006846246536052737,Directed,6,REPLY,2087290687423451264
1888260743298260992,1550978353049509894,Directed,3,REPLY,2087290536344289756
2006846246536052737,1869066217656614912,Directed,1,MENTION,2087290289862160737
1466346919429558275,1869066217656614912,Directed,1,REPLY,2087289363474587855
1869066217656614912,1466346919429558275,Directed,1,MENTION,2087288847537414595
1869066217656614912,2006846246536052737,Directed,1,MENTION,2087288847537414595
1869066217656614912,3065618342,Directed,1,MENTION,2087288847537414595
1869066217656614912,61033129,Directed,1,MENTION,2087288847537414595
1869066217656614912,4624513160,Directed,1,MENTION,2087288847537414595
1869066217656614912,1466346919429558275,Directed,1,REPLY,2087288847537414595
1466346919429558275,4624513160,Directed,1,REPLY,2087284294276550944
1786958472111677440,2006846246536052737,Directed,1,MENTION,2087281935663984985
1786958472111677440,1466346919429558275,Directed,1,MENTION,2087281935663984985
1786958472111677440,3065618342,Directed,1,MENTION,2087281935663984985
1786958472111677440,61033129,Directed,1,MENTION,2087281935663984985
1786958472111677440,2006846246536052737,Directed,1,REPLY,2087281935663984985
4624513160,1466346919429558275,Directed,1,REPLY,2087280208114258057
1550978353049509894,1888260743298260992,Directed,2,MENTION,2087277774134263944
1550978353049509894,1466346919429558275,Directed,2,MENTION,2087277774134263944
1550978353049509894,1474091860025122817,Directed,2,MENTION,2087277774134263944
1550978353049509894,1888260743298260992,Directed,2,REPLY,2087277774134263944
1466346919429558275,2009713439275728896,Directed,2,MENTION,2087277161002738173
1466346919429558275,18927441,Directed,3,MENTION,2087277161002738173
1466346919429558275,2009713439275728896,Directed,2,REPLY,2087277161002738173
1940079301577109504,1466346919429558275,Directed,4,MENTION,2087268771618529552
1940079301577109504,1142616636479770625,Directed,3,MENTION,2087268771618529552
1940079301577109504,1823520393807671296,Directed,3,MENTION,2087268771618529552
1940079301577109504,1474091860025122817,Directed,4,MENTION,2087268771618529552
1940079301577109504,1466346919429558275,Directed,2,REPLY,2087268771618529552
1466346919429558275,1940079301577109504,Directed,2,MENTION,2087267605002531323
1466346919429558275,1142616636479770625,Directed,1,MENTION,2087267605002531323
1466346919429558275,1823520393807671296,Directed,1,MENTION,2087267605002531323
1466346919429558275,1474091860025122817,Directed,26,MENTION,2087267605002531323
1466346919429558275,1940079301577109504,Directed,2,REPLY,2087267605002531323
1466346919429558275,1888260743298260992,Directed,3,MENTION,2087265404762902572
1466346919429558275,1550978353049509894,Directed,2,MENTION,2087265404762902572
1466346919429558275,1888260743298260992,Directed,2,REPLY,2087264776779132942
1466346919429558275,1455241901188149249,Directed,1,MENTION,2087262092156137977
1466346919429558275,1455241901188149249,Directed,1,RETWEET,2087262092156137977
1466346919429558275,1298946149135482880,Directed,1,MENTION,2087261411781284132
1466346919429558275,1298946149135482880,Directed,1,REPLY,2087261411781284132
1712872286674436096,1141128918633607168,Directed,1,MENTION,2087260214152016174
1712872286674436096,1466346919429558275,Directed,1,MENTION,2087260214152016174
1712872286674436096,1430226136961781770,Directed,1,MENTION,2087260214152016174
1712872286674436096,1474091860025122817,Directed,1,MENTION,2087260214152016174
2307585944,1466346919429558275,Directed,1,MENTION,2087250446792667341
