Source,Target,Type,Weight,Interaction,post_id
2006846246536052737,2011674871189946372,Directed,1,MENTION,2087743451869909182
2006846246536052737,2033996731822837771,Directed,1,MENTION,2087743451869909182
2006846246536052737,1519516156133920769,Directed,1,MENTION,2087743451869909182
2006846246536052737,1518906576152805377,Directed,1,MENTION,2087743451869909182
2006846246536052737,1167910481945858048,Directed,1,MENTION,2087743451869909182
2006846246536052737,14337584,Directed,1,MENTION,2087743451869909182
2006846246536052737,1999639221565554691,Directed,1,MENTION,2087743451869909182
2006846246536052737,2013424457180692480,Directed,1,MENTION,2087743451869909182
2033996731822837771,1519516156133920769,Directed,265,MENTION,2087741867777806556
2033996731822837771,3196433835,Directed,1,QUOTE,2087741644993089623
2033996731822837771,1519516156133920769,Directed,6,REPLY,2087741644993089623
2085025742379778050,1519516156133920769,Directed,3,MENTION,2087738885518262354
2085025742379778050,2033996731822837771,Directed,7,MENTION,2087738885518262354
2085025742379778050,1519516156133920769,Directed,1,REPLY,2087738885518262354
1720665183188922368,2033996731822837771,Directed,2,MENTION,2087735716260241778
1720665183188922368,1836813746850672641,Directed,2,MENTION,2087735716260241778
1720665183188922368,2033996731822837771,Directed,2,REPLY,2087735716260241778
2033996731822837771,1720665183188922368,Directed,2,MENTION,2087735575768154621
2033996731822837771,1836813746850672641,Directed,2,MENTION,2087735575768154621
2033996731822837771,1720665183188922368,Directed,1,REPLY,2087735575768154621
2033996731822837771,1836813746850672641,Directed,1,REPLY,2087735301867532585
2033996731822837771,1519516156133920769,Directed,1,RETWEET,2087733756694331462
2033996731822837771,2011674871189946372,Directed,24,MENTION,2087724024340299836
2033996731822837771,2011674871189946372,Directed,2,REPLY,2087722947800973369
2033996731822837771,1999639221565554691,Directed,5,MENTION,2087712105164321084
2033996731822837771,1990640527998660612,Directed,33,MENTION,2087712105164321084
2033996731822837771,1167910481945858048,Directed,144,MENTION,2087712105164321084
2033996731822837771,1817404157004754945,Directed,36,MENTION,2087712105164321084
2033996731822837771,741350311365726208,Directed,37,MENTION,2087712105164321084
2033996731822837771,1507003817434521601,Directed,156,MENTION,2087712105164321084
2033996731822837771,2018879913131171841,Directed,100,MENTION,2087712105164321084
2033996731822837771,1293987879966965765,Directed,22,MENTION,2087712105164321084
2033996731822837771,1976309528653377536,Directed,30,MENTION,2087712105164321084
2033996731822837771,1992461810013020163,Directed,85,MENTION,2087712105164321084
2033996731822837771,1999639221565554691,Directed,3,REPLY,2087712105164321084
1999639221565554691,2033996731822837771,Directed,3,MENTION,2087709200139116806
1999639221565554691,1990640527998660612,Directed,2,MENTION,2087709200139116806
1999639221565554691,1167910481945858048,Directed,2,MENTION,2087709200139116806
1999639221565554691,1817404157004754945,Directed,2,MENTION,2087709200139116806
1999639221565554691,741350311365726208,Directed,2,MENTION,2087709200139116806
1999639221565554691,1507003817434521601,Directed,3,MENTION,2087709200139116806
1999639221565554691,1519516156133920769,Directed,3,MENTION,2087709200139116806
1999639221565554691,2011674871189946372,Directed,2,MENTION,2087709200139116806
1999639221565554691,2018879913131171841,Directed,3,MENTION,2087709200139116806
1999639221565554691,1293987879966965765,Directed,2,MENTION,2087709200139116806
1999639221565554691,1976309528653377536,Directed,2,MENTION,2087709200139116806
1999639221565554691,1992461810013020163,Directed,3,MENTION,2087709200139116806
1999639221565554691,2033996731822837771,Directed,2,REPLY,2087708041911402739
2033996731822837771,1763700107013201920,Directed,2,MENTION,2087707374404653366
2033996731822837771,1763700107013201920,Directed,1,RETWEET,2087707374404653366
2033996731822837771,1516825894479810564,Directed,13,MENTION,2087707292397629812
2033996731822837771,1516825894479810564,Directed,1,RETWEET,2087707292397629812
2033996731822837771,1516825894479810564,Directed,7,REPLY,2087707270436340106
2033996731822837771,1763700107013201920,Directed,1,REPLY,2087707033609069044
2033996731822837771,1949994403881484288,Directed,2,MENTION,2087706384506995196
2033996731822837771,1814320148976955392,Directed,189,MENTION,2087706384506995196
2033996731822837771,1683167399682482182,Directed,18,MENTION,2087706384506995196
2033996731822837771,1949994403881484288,Directed,2,REPLY,2087706384506995196
2033996731822837771,2084846391122350080,Directed,88,MENTION,2087705453937701141
1983395377111040000,2011674871189946372,Directed,1,MENTION,2087703103286202770
1983395377111040000,1614200889522241542,Directed,1,MENTION,2087703103286202770
1983395377111040000,1519516156133920769,Directed,1,MENTION,2087703103286202770
1983395377111040000,2033996731822837771,Directed,1,MENTION,2087703103286202770
1983395377111040000,829497835183828992,Directed,1,MENTION,2087703103286202770
1983395377111040000,2011674871189946372,Directed,1,REPLY,2087703103286202770
2011674871189946372,2033996731822837771,Directed,5,MENTION,2087702891914051645
2011674871189946372,1999639221565554691,Directed,2,MENTION,2087702891914051645
2011674871189946372,1614200889522241542,Directed,3,MENTION,2087702891914051645
2011674871189946372,1519516156133920769,Directed,3,MENTION,2087702891914051645
2011674871189946372,829497835183828992,Directed,4,MENTION,2087702891914051645
2011674871189946372,2033996731822837771,Directed,4,REPLY,2087702891914051645
1999639221565554691,2084846391122350080,Directed,1,MENTION,2087701470724657268
1502722158346211331,1949994403881484288,Directed,1,MENTION,2087701117912388000
1502722158346211331,1814320148976955392,Directed,1,MENTION,2087701117912388000
1502722158346211331,1683167399682482182,Directed,1,MENTION,2087701117912388000
1502722158346211331,2033996731822837771,Directed,4,MENTION,2087701117912388000
1502722158346211331,1949994403881484288,Directed,1,REPLY,2087701117912388000
2033996731822837771,1614200889522241542,Directed,48,MENTION,2087698022927061228
2033996731822837771,829497835183828992,Directed,2,MENTION,2087698022927061228
2033996731822837771,2087632065483448320,Directed,1,MENTION,2087684349479330092
2033996731822837771,2087632065483448320,Directed,1,REPLY,2087684349479330092
2087632065483448320,2033996731822837771,Directed,1,MENTION,2087684197783892164
2087632065483448320,2084846391122350080,Directed,1,MENTION,2087684197783892164
2087632065483448320,1507003817434521601,Directed,1,MENTION,2087684197783892164
2087632065483448320,1519516156133920769,Directed,1,MENTION,2087684197783892164
2087632065483448320,2018879913131171841,Directed,1,MENTION,2087684197783892164
2087632065483448320,1992461810013020163,Directed,1,MENTION,2087684197783892164
2087632065483448320,2033996731822837771,Directed,1,REPLY,2087684197783892164
2033996731822837771,1979399549451145218,Directed,1,MENTION,2087680381617328347
2033996731822837771,1979399549451145218,Directed,1,REPLY,2087680381617328347
