Id,Label,0,1,2,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Weighted Degree_copy[z],splitter_z_value
2006846246536052737,EQBrowser,EQBrowser,EQBrowser,https://pbs.twimg.com/profile_images/2006847155840102401/ZYjM7_3x_normal.png,0,8,8,0,8,8,8,0
2033996731822837771,I_luv_Ice,I_luv_Ice,💣🕸🕷The_Governess🕷🕸💣,https://pbs.twimg.com/profile_images/2084862558171967488/IOlToDhx_normal.jpg,175,337,512,471,2943,3414,3414,3
1999639221565554691,Wasteland_Nomad,Wasteland_Nomad,Wasteland_Nomad,https://pbs.twimg.com/profile_images/2067462581862965248/Hs44nZjn_normal.jpg,4,14,18,11,32,43,43,0
2011674871189946372,Aquil2026,Aquil2026,Aquil2026,https://pbs.twimg.com/profile_images/2079332398865510400/LhTuIaes_normal.jpg,9,7,16,37,22,59,59,0
1519516156133920769,PamHemphill79,PamHemphill79,PamHemphill79,https://pbs.twimg.com/profile_images/1929221044587659264/GrZdpXHR_normal.jpg,71,16,87,456,48,504,504,0
1167910481945858048,DeleteXnow444,DeleteXnow444,DeleteXnow444,https://pbs.twimg.com/profile_images/1979815902423011328/95gCKBnr_normal.jpg,21,12,33,185,15,200,200,0
1518906576152805377,BoqPrecision,BoqPrecision,BoqPrecision,https://pbs.twimg.com/profile_images/2083950428371267586/Srt0nuqV_normal.jpg,2,0,2,2,0,2,2,0
14337584,NC_P8riot,NC_P8riot,NC_P8riot,https://pbs.twimg.com/profile_images/1994186133845020672/cOZnkm2C_normal.jpg,1,0,1,1,0,1,1,0
2013424457180692480,Nikki_Sixx_gir,Nikki_Sixx_gir,Nikki6,https://pbs.twimg.com/profile_images/2013424957036847104/RNxsP3l5_normal.jpg,4,16,20,9,31,40,40,0
3196433835,ethanmwolf,ethanmwolf,Ethan Wolf 🇺🇸,https://pbs.twimg.com/profile_images/1999923586304184322/NNgnq9ID_normal.jpg,1,0,1,1,0,1,1,0
2085025742379778050,UClownDebunker,UClownDebunker,Ultra Clown Debunker™ 🤡,https://pbs.twimg.com/profile_images/2085028264649580544/T_dD62zR_normal.jpg,0,15,15,0,25,25,25,0
1720665183188922368,grok,grok,grok,https://pbs.twimg.com/profile_images/2057885623374290944/lmj0pawP_normal.jpg,2,3,5,3,6,9,9,0
1836813746850672641,Gianl1974,Gianl1974,Gianl1974,https://pbs.twimg.com/profile_images/1836813947749470208/asiIxL-T_normal.jpg,4,0,4,6,0,6,6,0
2018879913131171841,Mandy_Heart3159,Mandy_Heart3159,Mandy_Heart3159,https://pbs.twimg.com/profile_images/2080949464257396736/BoQN5cCT_normal.jpg,18,12,30,158,107,265,265,0
1992461810013020163,SubpoenaEnvy,SubpoenaEnvy,SubpoenaEnvy,https://pbs.twimg.com/profile_images/2040579247572647936/k28cxbP1_normal.jpg,13,0,13,107,0,107,107,0
1990640527998660612,ScubaSteve026,ScubaSteve026,ScubaSteve026,https://pbs.twimg.com/profile_images/2075978423579951104/yDq--EJU_normal.jpg,7,0,7,41,0,41,41,0
1817404157004754945,APMtnTop,APMtnTop,APMtnTop,https://pbs.twimg.com/profile_images/2030427327906058240/O7yWDlc8_normal.jpg,8,0,8,49,0,49,49,0
741350311365726208,TManitowoc,TManitowoc,TManitowoc,https://pbs.twimg.com/profile_images/1702559681992876032/gj4ovGIS_normal.jpg,6,0,6,45,0,45,45,0
1507003817434521601,PlatinumRat1,PlatinumRat1,PlatinumRat1,https://pbs.twimg.com/profile_images/1705451343047966720/siLDUNER_normal.jpg,20,9,29,191,13,204,204,0
1293987879966965765,_DTorstenson,_DTorstenson,_DTorstenson,https://pbs.twimg.com/profile_images/1688558376966340609/4XuKZadH_normal.jpg,7,0,7,31,0,31,31,0
1976309528653377536,TeddyDuChamp82,TeddyDuChamp82,TeddyDuChamp82,https://pbs.twimg.com/profile_images/2049356047035588608/JUSR6PPS_normal.jpg,7,0,7,42,0,42,42,0
1763700107013201920,StalkerWatchers,StalkerWatchers,StalkerWatchers,https://pbs.twimg.com/profile_images/2017074339590365184/5vGMQB4N_normal.jpg,3,0,3,4,0,4,4,0
1516825894479810564,PNWbrooke,PNWbrooke,StoryBrooke,https://pbs.twimg.com/profile_images/2087733932561465344/Osx4zXgw_normal.jpg,11,2,13,35,2,37,37,0
1949994403881484288,libtardsofpdx,libtardsofpdx,libtardsofpdx,https://pbs.twimg.com/profile_images/1951378364192935936/3ImUFeQQ_normal.jpg,4,0,4,6,0,6,6,0
1814320148976955392,Tommy4Trump420,Tommy4Trump420,Tommy4Trump420,https://pbs.twimg.com/profile_images/2023609642295955456/guDz9uAx_normal.jpg,52,0,52,342,0,342,342,0
1683167399682482182,GDaddyzs,GDaddyzs,GDaddyzs,https://pbs.twimg.com/profile_images/2084271973475942400/ERFYMewp_normal.jpg,5,0,5,26,0,26,26,0
2084846391122350080,HaleyReports101,HaleyReports101,HaleyReports101,https://pbs.twimg.com/profile_images/2084904995556933632/jH2hbCiY_normal.jpg,19,3,22,113,4,117,117,0
1983395377111040000,ComeAroundHere,ComeAroundHere,Come Around Here,https://pbs.twimg.com/profile_images/2077001913711960064/XicTFa5E_normal.jpg,0,6,6,0,6,6,6,0
829497835183828992,noellecook_com,noellecook_com,noellecook_com,https://pbs.twimg.com/profile_images/2020583039856943104/UQRYHJuk_normal.jpg,5,0,5,9,0,9,9,0
1614200889522241542,TwitzerlandNet,TwitzerlandNet,TwitzerlandNet,https://pbs.twimg.com/profile_images/2064929784262426624/GT6Wv_Zh_normal.jpg,13,0,13,68,0,68,68,0
1502722158346211331,RheinAmacher,RheinAmacher,RheinAmacher,https://pbs.twimg.com/profile_images/1990601738668396544/Zv1B9ZgN_normal.jpg,6,11,17,7,17,24,24,0
2087632065483448320,chrissimsdildo,chrissimsdildo,sweatyasscrack,https://pbs.twimg.com/profile_images/2087636172805955584/F_odDx-p_normal.jpg,2,7,9,2,7,9,9,0
1979399549451145218,Kbowski_Press,Kbowski_Press,Kbowski_Press,https://pbs.twimg.com/profile_images/2003604666144423939/bsYHAVez_normal.jpg,2,0,2,2,0,2,2,0
1257200500946001924,HaydenSwankX,HaydenSwankX,HaydenSwankX,https://pbs.twimg.com/profile_images/1982987593815076864/bOYWmYYz_normal.jpg,2,0,2,2,0,2,2,0
1348641467674353665,nmewrath,nmewrath,nmewrath,https://pbs.twimg.com/profile_images/1883656279710670848/vNTjpgq9_normal.jpg,3,0,3,4,0,4,4,0
1891580830692352000,Rasner4WY,Rasner4WY,Rasner4WY,https://pbs.twimg.com/profile_images/2086907975982366720/Dv_iXyjq_normal.jpg,1,0,1,2,0,2,2,0
2087666629362462720,FAFO2027,FAFO2027,FAFO,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,0,7,7,0,7,7,7,0
2015134783517667328,THEGUYERSHOW,THEGUYERSHOW,THEGUYERSHOW,https://pbs.twimg.com/profile_images/2079635801403756544/dEV2f3eS_normal.jpg,21,11,32,41,25,66,66,0
1332498719720280070,Kevin04128158,Kevin04128158,Kevin04128158,https://pbs.twimg.com/profile_images/2084097997051133952/WsqW_H7D_normal.jpg,4,0,4,23,0,23,23,0
2013295245731999744,NyFrdmFtr77,NyFrdmFtr77,"#1cuck",https://pbs.twimg.com/profile_images/2086902924479709184/l7rd7trV_normal.jpg,2,7,9,2,7,9,9,0
1669449499176222722,bc1niner6seven,bc1niner6seven,Brian,https://pbs.twimg.com/profile_images/1669449647335817216/59mULkYs_normal.png,2,19,21,4,30,34,34,0
1626117081505857537,AudraAnn82,AudraAnn82,Audra Ann,https://pbs.twimg.com/profile_images/1854309236865654784/LiWYG_nK_normal.jpg,3,5,8,4,5,9,9,0
2077622330159927296,ChainsawHug,ChainsawHug,ChainsawHug,https://pbs.twimg.com/profile_images/2081864315116924928/XngkL7W4_normal.jpg,58,13,71,282,36,318,318,0
1980021942783754240,Patriot_Shane_,Patriot_Shane_,Patriot_Shane_,https://pbs.twimg.com/profile_images/2015557771786387456/N7QIlXDn_normal.jpg,2,0,2,3,0,3,3,0
532876187,DCordell2016,DCordell2016,DCordell2016,https://pbs.twimg.com/profile_images/2059269817224265728/RC6n2Qmw_normal.jpg,3,0,3,14,0,14,14,0
43736644,gmf1369,gmf1369,gmf1369,https://pbs.twimg.com/profile_images/2081067900883046400/JHJopVwK_normal.jpg,2,20,22,23,52,75,75,0
1917302436743766019,LiberalCofeCat,LiberalCofeCat,LiberalCofeCat,https://pbs.twimg.com/profile_images/2085821485864595456/hqWwZh83_normal.jpg,2,0,2,14,0,14,14,0
1308898319150841857,Sinfulskin2,Sinfulskin2,Sinfulskin2,https://pbs.twimg.com/profile_images/1309098303653584896/_S6z9JzF_normal.jpg,1,0,1,6,0,6,6,0
1776317150656950272,IIKnowIDont,IIKnowIDont,IIKnowIDont,https://pbs.twimg.com/profile_images/2053902353930072064/LgyMP8mr_normal.jpg,2,0,2,11,0,11,11,0
406394652,crygood,crygood,crygood,https://pbs.twimg.com/profile_images/2080790130428891136/0aZTMe5P_normal.jpg,2,0,2,7,0,7,7,0
958860239318724614,Wipapa5,Wipapa5,Wipapa5,https://pbs.twimg.com/profile_images/962752245795295234/ryNwg4cu_normal.jpg,2,0,2,9,0,9,9,0
100338893,Dollhouse,Dollhouse,Dollhouse,https://pbs.twimg.com/profile_images/2006522780980756480/wVCN0KKD_normal.jpg,1,0,1,2,0,2,2,0
4209972622,ButterflyMom322,ButterflyMom322,ButterflyMom322,https://pbs.twimg.com/profile_images/2077890026839412736/epkh2gQ6_normal.jpg,1,0,1,3,0,3,3,0
914433525033705473,DollyDemeli,DollyDemeli,DollyDemeli,https://pbs.twimg.com/profile_images/970810816864845825/KjD10qm9_normal.jpg,1,0,1,2,0,2,2,0
1974265958358503424,CJohn49795,CJohn49795,CJohn49795,https://pbs.twimg.com/profile_images/2069067690690453504/qBi2vhUD_normal.jpg,1,0,1,1,0,1,1,0
767490306279370752,Carril1J,Carril1J,Carril1J,https://pbs.twimg.com/profile_images/2057606299127300096/0u3e3iKW_normal.jpg,2,0,2,9,0,9,9,0
921449088872321025,ButtersKatz,ButtersKatz,ButtersKatz,https://pbs.twimg.com/profile_images/2083035971168215040/gdaVi2Wt_normal.jpg,1,0,1,1,0,1,1,0
1921129503386202112,realsonofwolf,realsonofwolf,realsonofwolf,https://pbs.twimg.com/profile_images/2085368977606520832/ftWr1JDm_normal.jpg,1,0,1,2,0,2,2,0
211043781,CamryOnDiaz,CamryOnDiaz,CamryOnDiaz,https://pbs.twimg.com/profile_images/2007972300449009664/_rtu9odz_normal.jpg,2,0,2,9,0,9,9,0
1557139271638781966,DemDeeDee,DemDeeDee,DemDeeDee,https://pbs.twimg.com/profile_images/2083349083670953985/LeRWuh_A_normal.jpg,2,0,2,10,0,10,10,0
820014675542806528,jbm32753,jbm32753,jbm32753,https://pbs.twimg.com/profile_images/1533223892105428993/q6-obAd1_normal.jpg,1,0,1,1,0,1,1,0
1952417682856521728,marybmwm44,marybmwm44,marybmwm44,https://pbs.twimg.com/profile_images/2081461231966433280/_GesZA82_normal.jpg,1,0,1,3,0,3,3,0
375955750,keeshalldaylong,keeshalldaylong,keeshalldaylong,https://pbs.twimg.com/profile_images/2033994489984126980/MZJ3OTUH_normal.jpg,1,0,1,4,0,4,4,0
1300050128254967809,ZACKHAMMER7,ZACKHAMMER7,ZACKHAMMER7,https://pbs.twimg.com/profile_images/2075098874763440128/ytsWVs3P_normal.jpg,1,0,1,1,0,1,1,0
1719474577875636224,Sigmund84540696,Sigmund84540696,Sigmund84540696,https://pbs.twimg.com/profile_images/2066047992902148096/ci79cjDe_normal.jpg,1,0,1,4,0,4,4,0
1085597192155467776,RhymesRadical,RhymesRadical,RhymesRadical,https://pbs.twimg.com/profile_images/2067593618362159104/96d9kSym_normal.jpg,1,0,1,1,0,1,1,0
1273697288611741696,maestramarney,maestramarney,maestramarney,https://pbs.twimg.com/profile_images/2061302255413002240/V9X9nyrz_normal.jpg,2,0,2,14,0,14,14,0
1141346344923213824,LaTigresseblanc,LaTigresseblanc,LaTigresseblanc,https://pbs.twimg.com/profile_images/2081301000711737344/aRGPqj_2_normal.jpg,1,0,1,5,0,5,5,0
1436315730862092322,DogsAreBtr,DogsAreBtr,DogsAreBtr,https://pbs.twimg.com/profile_images/1942677487005159424/Y8xuRTK4_normal.jpg,1,0,1,1,0,1,1,0
59476911,PollyKaneig,PollyKaneig,PollyKaneig,https://pbs.twimg.com/profile_images/2046410318012977152/Fbsh6i0y_normal.jpg,2,0,2,11,0,11,11,0
1543633335552860160,WinterFeminist,WinterFeminist,WinterFeminist,https://pbs.twimg.com/profile_images/2000467936923033600/M7LmRk0o_normal.jpg,1,0,1,1,0,1,1,0
129292127,tourjulian,tourjulian,tourjulian,https://pbs.twimg.com/profile_images/2052394970053537798/rACw9W9c_normal.jpg,1,0,1,3,0,3,3,0
526538689,mysageadvice,mysageadvice,mysageadvice,https://pbs.twimg.com/profile_images/1855402416222457856/v49KkLev_normal.jpg,1,0,1,1,0,1,1,0
1985737585436868608,GAnn_5050,GAnn_5050,GAnn_5050,https://pbs.twimg.com/profile_images/2087660244474425344/ectAWQgd_normal.jpg,1,0,1,1,0,1,1,0
23554832,smc429,smc429,smc429,https://pbs.twimg.com/profile_images/1993426558401544192/Sav01R7m_normal.jpg,1,0,1,1,0,1,1,0
2605907941,miloseh,miloseh,miloseh,https://pbs.twimg.com/profile_images/1963134940171689984/dPHLHfat_normal.jpg,1,0,1,1,0,1,1,0
1643162400,wiredowl,wiredowl,wiredowl,https://pbs.twimg.com/profile_images/1578827045458649090/9rYFvBUo_normal.jpg,1,0,1,1,0,1,1,0
364401480,Bossmoney8444,Bossmoney8444,Bossmoney8444,https://pbs.twimg.com/profile_images/1686171479002456064/BVJLMoOz_normal.jpg,11,2,13,32,2,34,34,0
1962152164803174401,idahopatriot47,idahopatriot47,Idaho Patriot,https://pbs.twimg.com/profile_images/2085418785037840384/JAzBfH3q_normal.jpg,0,19,19,0,39,39,39,0
507663942,ogTinaBoBina,ogTinaBoBina,ogTinaBoBina,https://pbs.twimg.com/profile_images/2065082015255310337/w11aHBJ__normal.jpg,8,0,8,60,0,60,60,0
3255058201,NotTodayCinder,NotTodayCinder,NotTodayCinder,https://pbs.twimg.com/profile_images/2086893416835698688/l0tnpfr3_normal.jpg,6,28,34,33,35,68,68,0
1992108003273928704,charlie500321q2,charlie500321q2,charlie500321q2,https://pbs.twimg.com/profile_images/2036674383037751296/qkKpJL31_normal.jpg,1,0,1,1,0,1,1,0
1450914658597187593,OpnBrdrsAdvct,OpnBrdrsAdvct,OpnBrdrsAdvct,https://pbs.twimg.com/profile_images/1779931034370387968/3yTOttl9_normal.jpg,1,0,1,1,0,1,1,0
1470561659987111938,ConniePelchat,ConniePelchat,ConniePelchat,https://pbs.twimg.com/profile_images/1470561787959562243/sbgqhiMi_normal.jpg,2,0,2,2,0,2,2,0
44950126,Manny_33_33,Manny_33_33,Manny_33_33,https://pbs.twimg.com/profile_images/2079718163730624512/B0zHdcH9_normal.jpg,1,0,1,1,0,1,1,0
2035590490201239552,UnfilteredNRaw,UnfilteredNRaw,UnfilteredNRaw,https://pbs.twimg.com/profile_images/2081903642429530112/3IvpvphR_normal.png,2,0,2,2,0,2,2,0
1989097083920367616,DougHarris420,DougHarris420,HereticHippy,https://pbs.twimg.com/profile_images/1989097823753711616/O2wJN-J8_normal.jpg,12,11,23,71,181,252,252,0
1570934430549565440,Mattie_1979,Mattie_1979,1776_Patriot,https://pbs.twimg.com/profile_images/1854065697636466690/7dKH0ygU_normal.jpg,9,11,20,71,69,140,140,0
1975905404258525185,sandrafortrump2,sandrafortrump2,Sandra For Trump,https://pbs.twimg.com/profile_images/2003909111118024705/h9oa_TNj_normal.jpg,28,5,33,178,5,183,183,0
1823461907627655168,fastrak05150,fastrak05150,Streetkiller,https://pbs.twimg.com/profile_images/1823462099164782593/SeS0l_1-_normal.png,3,7,10,41,82,123,123,0
1987029677622632449,ELGonzo4678,ELGonzo4678,ELGonzo4678,https://pbs.twimg.com/profile_images/2010433864951541760/j5ly5C6A_normal.jpg,6,7,13,19,24,43,43,0
