Source,Target,Type,Weight,Interaction,post_id
1472083143213686784,13615722,Directed,2,MENTION,2087409290248400920
1472083143213686784,13615722,Directed,2,REPLY,2087409290248400920
2083835950430351360,13615722,Directed,1,MENTION,2087409238628827383
2083835950430351360,13615722,Directed,1,REPLY,2087409238628827383
2077031044071763968,13615722,Directed,2,MENTION,2087408390146265243
2077031044071763968,13615722,Directed,2,REPLY,2087408390146265243
1500700961488183296,13615722,Directed,1,MENTION,2087407501406781457
1500700961488183296,13615722,Directed,1,REPLY,2087407501406781457
3292046109,13615722,Directed,3,MENTION,2087404428571873352
3292046109,13615722,Directed,3,REPLY,2087404428571873352
1049627392082243584,1491072274740482054,Directed,3,MENTION,2087404031849505211
1049627392082243584,233370384,Directed,3,MENTION,2087404031849505211
1049627392082243584,13615722,Directed,3,MENTION,2087404031849505211
1049627392082243584,1491072274740482054,Directed,3,REPLY,2087404031849505211
1491072274740482054,1049627392082243584,Directed,2,MENTION,2087402290059587636
1491072274740482054,233370384,Directed,3,MENTION,2087402290059587636
1491072274740482054,13615722,Directed,5,MENTION,2087402290059587636
1491072274740482054,1049627392082243584,Directed,2,REPLY,2087402290059587636
2077345398251827200,13615722,Directed,1,MENTION,2087402231347749145
2077345398251827200,13615722,Directed,1,REPLY,2087402231347749145
2077345715789914112,13615722,Directed,1,MENTION,2087402210342653954
2077345715789914112,13615722,Directed,1,REPLY,2087402210342653954
1816611509595963394,13615722,Directed,1,MENTION,2087398214190391738
1816611509595963394,13615722,Directed,1,REPLY,2087398214190391738
1624117761403133953,13615722,Directed,1,MENTION,2087397705425293707
1624117761403133953,13615722,Directed,1,REPLY,2087397705425293707
1265419378285137920,1273120481550499843,Directed,1,MENTION,2087397287278547388
1265419378285137920,13615722,Directed,1,MENTION,2087397287278547388
1265419378285137920,1273120481550499843,Directed,1,REPLY,2087397287278547388
1664122391671508993,13615722,Directed,1,MENTION,2087395307474801067
1664122391671508993,13615722,Directed,1,REPLY,2087395307474801067
2082318320313778176,13615722,Directed,1,MENTION,2087395114926674214
2082318320313778176,13615722,Directed,1,REPLY,2087395114926674214
1454208180997795840,1805187517294985216,Directed,1,MENTION,2087394441896005731
1454208180997795840,13615722,Directed,1,MENTION,2087394441896005731
1454208180997795840,1805187517294985216,Directed,1,REPLY,2087394441896005731
1998370707143630848,1652739040272166914,Directed,1,MENTION,2087393848817287411
1998370707143630848,13615722,Directed,1,MENTION,2087393848817287411
1998370707143630848,1652739040272166914,Directed,1,REPLY,2087393848817287411
2077307384108605440,13615722,Directed,1,MENTION,2087392294387228947
2077307384108605440,13615722,Directed,1,REPLY,2087392294387228947
1379963270422011907,13615722,Directed,1,MENTION,2087392152846303601
1379963270422011907,13615722,Directed,1,REPLY,2087392152846303601
49503277,13615722,Directed,1,MENTION,2087391346638151860
49503277,13615722,Directed,1,REPLY,2087391346638151860
1426336063346388992,1071606463557197824,Directed,2,MENTION,2087385194885980580
1426336063346388992,1690130307847192577,Directed,3,MENTION,2087385194885980580
1426336063346388992,1367174855150469121,Directed,3,MENTION,2087385194885980580
1426336063346388992,13615722,Directed,3,MENTION,2087385194885980580
1426336063346388992,1071606463557197824,Directed,2,REPLY,2087385194885980580
1977103232339263490,985555266681933824,Directed,1,MENTION,2087384664990155249
1977103232339263490,13615722,Directed,1,MENTION,2087384664990155249
1977103232339263490,985555266681933824,Directed,1,REPLY,2087384664990155249
2077331527222898688,13615722,Directed,1,MENTION,2087382281102966971
2077331527222898688,13615722,Directed,1,REPLY,2087382281102966971
2856794113,13615722,Directed,1,MENTION,2087380756737790125
2856794113,13615722,Directed,1,REPLY,2087380756737790125
1071606463557197824,1426336063346388992,Directed,2,MENTION,2087380285508010458
1071606463557197824,1690130307847192577,Directed,2,MENTION,2087380285508010458
1071606463557197824,1367174855150469121,Directed,2,MENTION,2087380285508010458
1071606463557197824,13615722,Directed,2,MENTION,2087380285508010458
1071606463557197824,1426336063346388992,Directed,2,REPLY,2087380285508010458
2085173066808868864,13615722,Directed,4,MENTION,2087379886600241539
2085173066808868864,13615722,Directed,4,REPLY,2087379886600241539
1886610923403591680,13615722,Directed,1,MENTION,2087378488005206467
1886610923403591680,13615722,Directed,1,REPLY,2087378488005206467
1720665183188922368,2059345184526135297,Directed,1,MENTION,2087374555887075714
1720665183188922368,13615722,Directed,7,MENTION,2087374555887075714
1720665183188922368,2059345184526135297,Directed,1,REPLY,2087374555887075714
2059345184526135297,13615722,Directed,1,MENTION,2087374358490558764
2059345184526135297,1720665183188922368,Directed,1,MENTION,2087374358490558764
